Epoch 00000 | Loss 3.3124 | Accuracy 0.6045
Epoch 00001 | Loss 1.2898 | Accuracy 0.7504
Epoch 00002 | Loss 0.8081 | Accuracy 0.8152
Epoch 00003 | Loss 0.6344 | Accuracy 0.8426
Epoch 00004 | Loss 0.5634 | Accuracy 0.8562
Epoch 00005 | Loss 0.5228 | Accuracy 0.8609
Epoch 00006 | Loss 0.5004 | Accuracy 0.8661
Epoch 00007 | Loss 0.4843 | Accuracy 0.8679
Epoch 00008 | Loss 0.4718 | Accuracy 0.8695
Epoch 00009 | Loss 0.4602 | Accuracy 0.8701
Epoch 00010 | Loss 0.4546 | Accuracy 0.8726
Epoch 00011 | Loss 0.4476 | Accuracy 0.8743
Epoch 00012 | Loss 0.4404 | Accuracy 0.8769
Epoch 00013 | Loss 0.4387 | Accuracy 0.8746
Epoch 00014 | Loss 0.4333 | Accuracy 0.8755
Epoch 00015 | Loss 0.4303 | Accuracy 0.8777
Epoch 00016 | Loss 0.4251 | Accuracy 0.8772
Epoch 00017 | Loss 0.4238 | Accuracy 0.8795
Epoch 00018 | Loss 0.4225 | Accuracy 0.8793
Epoch 00019 | Loss 0.4167 | Accuracy 0.8803
Epoch 00020 | Loss 0.4151 | Accuracy 0.8816
Epoch 00021 | Loss 0.4122 | Accuracy 0.8811
Epoch 00022 | Loss 0.4083 | Accuracy 0.8814
Epoch 00023 | Loss 0.4070 | Accuracy 0.8815
Epoch 00024 | Loss 0.4035 | Accuracy 0.8830
Epoch 00025 | Loss 0.4028 | Accuracy 0.8837
Epoch 00026 | Loss 0.4063 | Accuracy 0.8853
Epoch 00027 | Loss 0.4023 | Accuracy 0.8859
Epoch 00028 | Loss 0.3975 | Accuracy 0.8843
Epoch 00029 | Loss 0.4014 | Accuracy 0.8838
Epoch 00030 | Loss 0.4003 | Accuracy 0.8843
Epoch 00031 | Loss 0.3973 | Accuracy 0.8862
Epoch 00032 | Loss 0.3953 | Accuracy 0.8849
Epoch 00033 | Loss 0.3938 | Accuracy 0.8858
Epoch 00034 | Loss 0.3936 | Accuracy 0.8879
Epoch 00035 | Loss 0.3900 | Accuracy 0.8859
Epoch 00036 | Loss 0.3893 | Accuracy 0.8875
Epoch 00037 | Loss 0.3882 | Accuracy 0.8864
Epoch 00038 | Loss 0.3864 | Accuracy 0.8848
Epoch 00039 | Loss 0.3856 | Accuracy 0.8872
Epoch 00040 | Loss 0.3872 | Accuracy 0.8864
Epoch 00041 | Loss 0.3836 | Accuracy 0.8884
Epoch 00042 | Loss 0.3859 | Accuracy 0.8862
Epoch 00043 | Loss 0.3813 | Accuracy 0.8882
Epoch 00044 | Loss 0.3841 | Accuracy 0.8900
Epoch 00045 | Loss 0.3857 | Accuracy 0.8873
Epoch 00046 | Loss 0.3824 | Accuracy 0.8891
Epoch 00047 | Loss 0.3846 | Accuracy 0.8867
Epoch 00048 | Loss 0.3821 | Accuracy 0.8880
Epoch 00049 | Loss 0.3809 | Accuracy 0.8873
