Epoch 00000 | Loss 6.0475 | Accuracy 0.3098
Epoch 00001 | Loss 2.1041 | Accuracy 0.5440
Epoch 00002 | Loss 1.4317 | Accuracy 0.6907
Epoch 00003 | Loss 1.0525 | Accuracy 0.7576
Epoch 00004 | Loss 0.8575 | Accuracy 0.7934
Epoch 00005 | Loss 0.7481 | Accuracy 0.8150
Epoch 00006 | Loss 0.6724 | Accuracy 0.8308
Epoch 00007 | Loss 0.6265 | Accuracy 0.8398
Epoch 00008 | Loss 0.5898 | Accuracy 0.8463
Epoch 00009 | Loss 0.5672 | Accuracy 0.8513
Epoch 00010 | Loss 0.5483 | Accuracy 0.8558
Epoch 00011 | Loss 0.5306 | Accuracy 0.8573
Epoch 00012 | Loss 0.5226 | Accuracy 0.8618
Epoch 00013 | Loss 0.5103 | Accuracy 0.8633
Epoch 00014 | Loss 0.5003 | Accuracy 0.8649
Epoch 00015 | Loss 0.4887 | Accuracy 0.8672
Epoch 00016 | Loss 0.4880 | Accuracy 0.8679
Epoch 00017 | Loss 0.4816 | Accuracy 0.8696
Epoch 00018 | Loss 0.4732 | Accuracy 0.8733
Epoch 00019 | Loss 0.4665 | Accuracy 0.8735
Epoch 00020 | Loss 0.4630 | Accuracy 0.8741
Epoch 00021 | Loss 0.4597 | Accuracy 0.8731
Epoch 00022 | Loss 0.4509 | Accuracy 0.8742
Epoch 00023 | Loss 0.4524 | Accuracy 0.8755
Epoch 00024 | Loss 0.4472 | Accuracy 0.8759
Epoch 00025 | Loss 0.4415 | Accuracy 0.8766
Epoch 00026 | Loss 0.4376 | Accuracy 0.8787
Epoch 00027 | Loss 0.4347 | Accuracy 0.8782
Epoch 00028 | Loss 0.4363 | Accuracy 0.8792
Epoch 00029 | Loss 0.4294 | Accuracy 0.8804
Epoch 00030 | Loss 0.4280 | Accuracy 0.8813
Epoch 00031 | Loss 0.4260 | Accuracy 0.8799
Epoch 00032 | Loss 0.4203 | Accuracy 0.8815
Epoch 00033 | Loss 0.4222 | Accuracy 0.8818
Epoch 00034 | Loss 0.4206 | Accuracy 0.8829
Epoch 00035 | Loss 0.4142 | Accuracy 0.8825
Epoch 00036 | Loss 0.4157 | Accuracy 0.8836
Epoch 00037 | Loss 0.4106 | Accuracy 0.8836
Epoch 00038 | Loss 0.4093 | Accuracy 0.8838
Epoch 00039 | Loss 0.4105 | Accuracy 0.8840
Epoch 00040 | Loss 0.4096 | Accuracy 0.8839
Epoch 00041 | Loss 0.4034 | Accuracy 0.8863
Epoch 00042 | Loss 0.4037 | Accuracy 0.8854
Epoch 00043 | Loss 0.4055 | Accuracy 0.8835
Epoch 00044 | Loss 0.4010 | Accuracy 0.8848
Epoch 00045 | Loss 0.3991 | Accuracy 0.8858
Epoch 00046 | Loss 0.3975 | Accuracy 0.8861
Epoch 00047 | Loss 0.3950 | Accuracy 0.8867
Epoch 00048 | Loss 0.3961 | Accuracy 0.8858
Epoch 00049 | Loss 0.3887 | Accuracy 0.8877
