Epoch 00000 | Loss 3.6353 | Accuracy 0.5632
Epoch 00001 | Loss 1.3381 | Accuracy 0.7507
Epoch 00002 | Loss 0.8200 | Accuracy 0.8157
Epoch 00003 | Loss 0.6374 | Accuracy 0.8441
Epoch 00004 | Loss 0.5670 | Accuracy 0.8561
Epoch 00005 | Loss 0.5308 | Accuracy 0.8608
Epoch 00006 | Loss 0.5033 | Accuracy 0.8660
Epoch 00007 | Loss 0.4862 | Accuracy 0.8676
Epoch 00008 | Loss 0.4734 | Accuracy 0.8700
Epoch 00009 | Loss 0.4667 | Accuracy 0.8694
Epoch 00010 | Loss 0.4570 | Accuracy 0.8744
Epoch 00011 | Loss 0.4465 | Accuracy 0.8745
Epoch 00012 | Loss 0.4433 | Accuracy 0.8757
Epoch 00013 | Loss 0.4358 | Accuracy 0.8781
Epoch 00014 | Loss 0.4343 | Accuracy 0.8765
Epoch 00015 | Loss 0.4321 | Accuracy 0.8776
Epoch 00016 | Loss 0.4263 | Accuracy 0.8781
Epoch 00017 | Loss 0.4238 | Accuracy 0.8795
Epoch 00018 | Loss 0.4212 | Accuracy 0.8809
Epoch 00019 | Loss 0.4183 | Accuracy 0.8807
Epoch 00020 | Loss 0.4156 | Accuracy 0.8801
Epoch 00021 | Loss 0.4105 | Accuracy 0.8819
Epoch 00022 | Loss 0.4100 | Accuracy 0.8829
Epoch 00023 | Loss 0.4077 | Accuracy 0.8813
Epoch 00024 | Loss 0.4041 | Accuracy 0.8834
Epoch 00025 | Loss 0.4030 | Accuracy 0.8831
Epoch 00026 | Loss 0.4052 | Accuracy 0.8839
Epoch 00027 | Loss 0.4000 | Accuracy 0.8849
Epoch 00028 | Loss 0.4059 | Accuracy 0.8842
Epoch 00029 | Loss 0.4004 | Accuracy 0.8848
Epoch 00030 | Loss 0.4005 | Accuracy 0.8845
Epoch 00031 | Loss 0.3993 | Accuracy 0.8877
Epoch 00032 | Loss 0.3964 | Accuracy 0.8860
Epoch 00033 | Loss 0.3965 | Accuracy 0.8854
Epoch 00034 | Loss 0.3952 | Accuracy 0.8865
Epoch 00035 | Loss 0.3930 | Accuracy 0.8868
Epoch 00036 | Loss 0.3901 | Accuracy 0.8862
Epoch 00037 | Loss 0.3884 | Accuracy 0.8877
Epoch 00038 | Loss 0.3918 | Accuracy 0.8881
Epoch 00039 | Loss 0.3865 | Accuracy 0.8886
Epoch 00040 | Loss 0.3870 | Accuracy 0.8900
Epoch 00041 | Loss 0.3837 | Accuracy 0.8854
Epoch 00042 | Loss 0.3866 | Accuracy 0.8872
Epoch 00043 | Loss 0.3847 | Accuracy 0.8880
Epoch 00044 | Loss 0.3808 | Accuracy 0.8889
Epoch 00045 | Loss 0.3846 | Accuracy 0.8868
Epoch 00046 | Loss 0.3846 | Accuracy 0.8879
Epoch 00047 | Loss 0.3846 | Accuracy 0.8888
Epoch 00048 | Loss 0.3818 | Accuracy 0.8880
Epoch 00049 | Loss 0.3796 | Accuracy 0.8879
