Epoch 00000 | Loss 4.6824 | Accuracy 0.3100
Epoch 00001 | Loss 2.1403 | Accuracy 0.4948
Epoch 00002 | Loss 1.4521 | Accuracy 0.6872
Epoch 00003 | Loss 1.0329 | Accuracy 0.7663
Epoch 00004 | Loss 0.7982 | Accuracy 0.8080
Epoch 00005 | Loss 0.6776 | Accuracy 0.8305
Epoch 00006 | Loss 0.6197 | Accuracy 0.8425
Epoch 00007 | Loss 0.5776 | Accuracy 0.8495
Epoch 00008 | Loss 0.5504 | Accuracy 0.8539
Epoch 00009 | Loss 0.5304 | Accuracy 0.8581
Epoch 00010 | Loss 0.5160 | Accuracy 0.8615
Epoch 00011 | Loss 0.5059 | Accuracy 0.8650
Epoch 00012 | Loss 0.4965 | Accuracy 0.8676
Epoch 00013 | Loss 0.4874 | Accuracy 0.8676
Epoch 00014 | Loss 0.4806 | Accuracy 0.8672
Epoch 00015 | Loss 0.4735 | Accuracy 0.8703
Epoch 00016 | Loss 0.4669 | Accuracy 0.8708
Epoch 00017 | Loss 0.4638 | Accuracy 0.8722
Epoch 00018 | Loss 0.4577 | Accuracy 0.8729
Epoch 00019 | Loss 0.4526 | Accuracy 0.8751
Epoch 00020 | Loss 0.4488 | Accuracy 0.8752
Epoch 00021 | Loss 0.4418 | Accuracy 0.8758
Epoch 00022 | Loss 0.4390 | Accuracy 0.8754
Epoch 00023 | Loss 0.4332 | Accuracy 0.8762
Epoch 00024 | Loss 0.4323 | Accuracy 0.8774
Epoch 00025 | Loss 0.4312 | Accuracy 0.8798
Epoch 00026 | Loss 0.4294 | Accuracy 0.8780
Epoch 00027 | Loss 0.4214 | Accuracy 0.8816
Epoch 00028 | Loss 0.4237 | Accuracy 0.8813
Epoch 00029 | Loss 0.4193 | Accuracy 0.8800
Epoch 00030 | Loss 0.4203 | Accuracy 0.8826
Epoch 00031 | Loss 0.4191 | Accuracy 0.8798
Epoch 00032 | Loss 0.4272 | Accuracy 0.8808
Epoch 00033 | Loss 0.4192 | Accuracy 0.8817
Epoch 00034 | Loss 0.4161 | Accuracy 0.8832
Epoch 00035 | Loss 0.4155 | Accuracy 0.8810
Epoch 00036 | Loss 0.4147 | Accuracy 0.8814
Epoch 00037 | Loss 0.4091 | Accuracy 0.8823
Epoch 00038 | Loss 0.4097 | Accuracy 0.8825
Epoch 00039 | Loss 0.4092 | Accuracy 0.8829
Epoch 00040 | Loss 0.4078 | Accuracy 0.8828
Epoch 00041 | Loss 0.4070 | Accuracy 0.8824
Epoch 00042 | Loss 0.4006 | Accuracy 0.8830
Epoch 00043 | Loss 0.4036 | Accuracy 0.8846
Epoch 00044 | Loss 0.3992 | Accuracy 0.8828
Epoch 00045 | Loss 0.4008 | Accuracy 0.8849
Epoch 00046 | Loss 0.3976 | Accuracy 0.8846
Epoch 00047 | Loss 0.4026 | Accuracy 0.8851
Epoch 00048 | Loss 0.3941 | Accuracy 0.8842
Epoch 00049 | Loss 0.3985 | Accuracy 0.8855
