Epoch 00000 | Loss 3.8656 | Accuracy 0.6237
Epoch 00001 | Loss 1.0765 | Accuracy 0.7677
Epoch 00002 | Loss 0.7897 | Accuracy 0.8120
Epoch 00003 | Loss 0.6590 | Accuracy 0.8286
Epoch 00004 | Loss 0.6036 | Accuracy 0.8412
Epoch 00005 | Loss 0.5619 | Accuracy 0.8484
Epoch 00006 | Loss 0.5400 | Accuracy 0.8556
Epoch 00007 | Loss 0.5176 | Accuracy 0.8607
Epoch 00008 | Loss 0.4982 | Accuracy 0.8635
Epoch 00009 | Loss 0.4906 | Accuracy 0.8652
Epoch 00010 | Loss 0.4800 | Accuracy 0.8665
Epoch 00011 | Loss 0.4731 | Accuracy 0.8668
Epoch 00012 | Loss 0.4625 | Accuracy 0.8700
Epoch 00013 | Loss 0.4592 | Accuracy 0.8710
Epoch 00014 | Loss 0.4569 | Accuracy 0.8700
Epoch 00015 | Loss 0.4500 | Accuracy 0.8716
Epoch 00016 | Loss 0.4473 | Accuracy 0.8744
Epoch 00017 | Loss 0.4396 | Accuracy 0.8722
Epoch 00018 | Loss 0.4434 | Accuracy 0.8726
Epoch 00019 | Loss 0.4367 | Accuracy 0.8759
Epoch 00020 | Loss 0.4363 | Accuracy 0.8750
Epoch 00021 | Loss 0.4257 | Accuracy 0.8780
Epoch 00022 | Loss 0.4285 | Accuracy 0.8792
Epoch 00023 | Loss 0.4271 | Accuracy 0.8801
Epoch 00024 | Loss 0.4165 | Accuracy 0.8791
Epoch 00025 | Loss 0.4179 | Accuracy 0.8784
Epoch 00026 | Loss 0.4182 | Accuracy 0.8804
Epoch 00027 | Loss 0.4202 | Accuracy 0.8790
Epoch 00028 | Loss 0.4154 | Accuracy 0.8793
Epoch 00029 | Loss 0.4146 | Accuracy 0.8789
Epoch 00030 | Loss 0.4172 | Accuracy 0.8800
Epoch 00031 | Loss 0.4119 | Accuracy 0.8810
Epoch 00032 | Loss 0.4128 | Accuracy 0.8818
Epoch 00033 | Loss 0.4096 | Accuracy 0.8812
Epoch 00034 | Loss 0.4098 | Accuracy 0.8813
Epoch 00035 | Loss 0.4130 | Accuracy 0.8801
Epoch 00036 | Loss 0.4122 | Accuracy 0.8830
Epoch 00037 | Loss 0.4096 | Accuracy 0.8818
Epoch 00038 | Loss 0.4070 | Accuracy 0.8808
Epoch 00039 | Loss 0.4061 | Accuracy 0.8838
Epoch 00040 | Loss 0.4077 | Accuracy 0.8802
Epoch 00041 | Loss 0.4100 | Accuracy 0.8813
Epoch 00042 | Loss 0.4086 | Accuracy 0.8803
Epoch 00043 | Loss 0.4085 | Accuracy 0.8815
Epoch 00044 | Loss 0.4048 | Accuracy 0.8784
Epoch 00045 | Loss 0.4039 | Accuracy 0.8801
Epoch 00046 | Loss 0.4027 | Accuracy 0.8842
Epoch 00047 | Loss 0.4034 | Accuracy 0.8838
Epoch 00048 | Loss 0.4023 | Accuracy 0.8813
Epoch 00049 | Loss 0.4030 | Accuracy 0.8831
