Epoch 00000 | Loss 6.0502 | Accuracy 0.4875
Epoch 00001 | Loss 1.7058 | Accuracy 0.5654
Epoch 00002 | Loss 1.2910 | Accuracy 0.6915
Epoch 00003 | Loss 0.9307 | Accuracy 0.7759
Epoch 00004 | Loss 0.7868 | Accuracy 0.8001
Epoch 00005 | Loss 0.7162 | Accuracy 0.8158
Epoch 00006 | Loss 0.6580 | Accuracy 0.8303
Epoch 00007 | Loss 0.6191 | Accuracy 0.8396
Epoch 00008 | Loss 0.5867 | Accuracy 0.8454
Epoch 00009 | Loss 0.5675 | Accuracy 0.8512
Epoch 00010 | Loss 0.5530 | Accuracy 0.8534
Epoch 00011 | Loss 0.5402 | Accuracy 0.8575
Epoch 00012 | Loss 0.5340 | Accuracy 0.8576
Epoch 00013 | Loss 0.5243 | Accuracy 0.8593
Epoch 00014 | Loss 0.5121 | Accuracy 0.8613
Epoch 00015 | Loss 0.5095 | Accuracy 0.8608
Epoch 00016 | Loss 0.5104 | Accuracy 0.8616
Epoch 00017 | Loss 0.4997 | Accuracy 0.8629
Epoch 00018 | Loss 0.4931 | Accuracy 0.8681
Epoch 00019 | Loss 0.4890 | Accuracy 0.8683
Epoch 00020 | Loss 0.4844 | Accuracy 0.8669
Epoch 00021 | Loss 0.4795 | Accuracy 0.8678
Epoch 00022 | Loss 0.4799 | Accuracy 0.8680
Epoch 00023 | Loss 0.4757 | Accuracy 0.8680
Epoch 00024 | Loss 0.4742 | Accuracy 0.8691
Epoch 00025 | Loss 0.4754 | Accuracy 0.8707
Epoch 00026 | Loss 0.4696 | Accuracy 0.8692
Epoch 00027 | Loss 0.4733 | Accuracy 0.8702
Epoch 00028 | Loss 0.4626 | Accuracy 0.8723
Epoch 00029 | Loss 0.4626 | Accuracy 0.8693
