Epoch 00000 | Loss 3.4932 | Accuracy 0.6735
Epoch 00001 | Loss 1.0691 | Accuracy 0.7638
Epoch 00002 | Loss 0.8144 | Accuracy 0.7981
Epoch 00003 | Loss 0.6957 | Accuracy 0.8209
Epoch 00004 | Loss 0.6281 | Accuracy 0.8335
Epoch 00005 | Loss 0.5800 | Accuracy 0.8444
Epoch 00006 | Loss 0.5554 | Accuracy 0.8514
Epoch 00007 | Loss 0.5297 | Accuracy 0.8571
Epoch 00008 | Loss 0.5169 | Accuracy 0.8618
Epoch 00009 | Loss 0.4997 | Accuracy 0.8623
Epoch 00010 | Loss 0.4887 | Accuracy 0.8656
Epoch 00011 | Loss 0.4785 | Accuracy 0.8669
Epoch 00012 | Loss 0.4768 | Accuracy 0.8679
Epoch 00013 | Loss 0.4678 | Accuracy 0.8699
Epoch 00014 | Loss 0.4635 | Accuracy 0.8707
Epoch 00015 | Loss 0.4581 | Accuracy 0.8707
Epoch 00016 | Loss 0.4530 | Accuracy 0.8726
Epoch 00017 | Loss 0.4512 | Accuracy 0.8739
Epoch 00018 | Loss 0.4495 | Accuracy 0.8746
Epoch 00019 | Loss 0.4452 | Accuracy 0.8747
Epoch 00020 | Loss 0.4400 | Accuracy 0.8751
Epoch 00021 | Loss 0.4404 | Accuracy 0.8770
Epoch 00022 | Loss 0.4316 | Accuracy 0.8762
Epoch 00023 | Loss 0.4295 | Accuracy 0.8780
Epoch 00024 | Loss 0.4273 | Accuracy 0.8760
Epoch 00025 | Loss 0.4217 | Accuracy 0.8769
Epoch 00026 | Loss 0.4316 | Accuracy 0.8777
Epoch 00027 | Loss 0.4242 | Accuracy 0.8783
Epoch 00028 | Loss 0.4238 | Accuracy 0.8776
Epoch 00029 | Loss 0.4227 | Accuracy 0.8792
Epoch 00030 | Loss 0.4253 | Accuracy 0.8783
Epoch 00031 | Loss 0.4241 | Accuracy 0.8785
Epoch 00032 | Loss 0.4207 | Accuracy 0.8789
Epoch 00033 | Loss 0.4206 | Accuracy 0.8798
Epoch 00034 | Loss 0.4151 | Accuracy 0.8799
Epoch 00035 | Loss 0.4164 | Accuracy 0.8793
Epoch 00036 | Loss 0.4171 | Accuracy 0.8811
Epoch 00037 | Loss 0.4145 | Accuracy 0.8786
Epoch 00038 | Loss 0.4164 | Accuracy 0.8774
Epoch 00039 | Loss 0.4142 | Accuracy 0.8791
Epoch 00040 | Loss 0.4112 | Accuracy 0.8787
Epoch 00041 | Loss 0.4101 | Accuracy 0.8808
Epoch 00042 | Loss 0.4100 | Accuracy 0.8818
Epoch 00043 | Loss 0.4092 | Accuracy 0.8823
Epoch 00044 | Loss 0.4091 | Accuracy 0.8813
Epoch 00045 | Loss 0.4072 | Accuracy 0.8820
Epoch 00046 | Loss 0.4058 | Accuracy 0.8795
Epoch 00047 | Loss 0.4078 | Accuracy 0.8827
Epoch 00048 | Loss 0.4105 | Accuracy 0.8806
Epoch 00049 | Loss 0.4063 | Accuracy 0.8822
