Epoch 00000 | Loss 5.5705 | Accuracy 0.5827
Epoch 00001 | Loss 1.3034 | Accuracy 0.7135
Epoch 00002 | Loss 0.9674 | Accuracy 0.7738
Epoch 00003 | Loss 0.8083 | Accuracy 0.8017
Epoch 00004 | Loss 0.7168 | Accuracy 0.8170
Epoch 00005 | Loss 0.6563 | Accuracy 0.8280
Epoch 00006 | Loss 0.6078 | Accuracy 0.8387
Epoch 00007 | Loss 0.5735 | Accuracy 0.8472
Epoch 00008 | Loss 0.5493 | Accuracy 0.8519
Epoch 00009 | Loss 0.5276 | Accuracy 0.8572
Epoch 00010 | Loss 0.5127 | Accuracy 0.8606
Epoch 00011 | Loss 0.5054 | Accuracy 0.8626
Epoch 00012 | Loss 0.4929 | Accuracy 0.8653
Epoch 00013 | Loss 0.4849 | Accuracy 0.8676
Epoch 00014 | Loss 0.4787 | Accuracy 0.8657
Epoch 00015 | Loss 0.4671 | Accuracy 0.8732
Epoch 00016 | Loss 0.4687 | Accuracy 0.8705
Epoch 00017 | Loss 0.4586 | Accuracy 0.8724
Epoch 00018 | Loss 0.4562 | Accuracy 0.8728
Epoch 00019 | Loss 0.4567 | Accuracy 0.8722
Epoch 00020 | Loss 0.4520 | Accuracy 0.8745
Epoch 00021 | Loss 0.4515 | Accuracy 0.8725
Epoch 00022 | Loss 0.4450 | Accuracy 0.8750
Epoch 00023 | Loss 0.4488 | Accuracy 0.8746
Epoch 00024 | Loss 0.4396 | Accuracy 0.8763
Epoch 00025 | Loss 0.4398 | Accuracy 0.8731
Epoch 00026 | Loss 0.4400 | Accuracy 0.8751
Epoch 00027 | Loss 0.4348 | Accuracy 0.8774
Epoch 00028 | Loss 0.4320 | Accuracy 0.8751
Epoch 00029 | Loss 0.4305 | Accuracy 0.8770
Epoch 00030 | Loss 0.4282 | Accuracy 0.8770
Epoch 00031 | Loss 0.4301 | Accuracy 0.8793
Epoch 00032 | Loss 0.4278 | Accuracy 0.8805
Epoch 00033 | Loss 0.4233 | Accuracy 0.8787
Epoch 00034 | Loss 0.4270 | Accuracy 0.8781
Epoch 00035 | Loss 0.4244 | Accuracy 0.8778
Epoch 00036 | Loss 0.4191 | Accuracy 0.8796
Epoch 00037 | Loss 0.4210 | Accuracy 0.8795
Epoch 00038 | Loss 0.4210 | Accuracy 0.8796
Epoch 00039 | Loss 0.4202 | Accuracy 0.8809
Epoch 00040 | Loss 0.4217 | Accuracy 0.8837
Epoch 00041 | Loss 0.4173 | Accuracy 0.8795
Epoch 00042 | Loss 0.4163 | Accuracy 0.8816
Epoch 00043 | Loss 0.4194 | Accuracy 0.8804
Epoch 00044 | Loss 0.4118 | Accuracy 0.8824
Epoch 00045 | Loss 0.4152 | Accuracy 0.8783
Epoch 00046 | Loss 0.4104 | Accuracy 0.8822
Epoch 00047 | Loss 0.4155 | Accuracy 0.8799
Epoch 00048 | Loss 0.4157 | Accuracy 0.8815
Epoch 00049 | Loss 0.4151 | Accuracy 0.8823
