Epoch -0001 | Loss 0.0000 | Accuracy 0.0030
Epoch 00000 | Loss 4.7467 | Accuracy 0.0746
Epoch 00001 | Loss 3.7207 | Accuracy 0.1781
Epoch 00002 | Loss 3.1675 | Accuracy 0.2633
Epoch 00003 | Loss 2.8361 | Accuracy 0.3188
Epoch 00004 | Loss 2.6472 | Accuracy 0.3471
Epoch 00005 | Loss 2.5267 | Accuracy 0.3668
Epoch 00006 | Loss 2.4347 | Accuracy 0.3778
Epoch 00007 | Loss 2.3732 | Accuracy 0.3871
Epoch 00008 | Loss 2.3323 | Accuracy 0.3948
Epoch 00009 | Loss 2.3014 | Accuracy 0.3972
Epoch 00010 | Loss 2.2790 | Accuracy 0.4059
Epoch 00011 | Loss 2.2597 | Accuracy 0.4065
Epoch 00012 | Loss 2.2407 | Accuracy 0.4115
Epoch 00013 | Loss 2.2247 | Accuracy 0.4155
Epoch 00014 | Loss 2.2095 | Accuracy 0.4189
Epoch 00015 | Loss 2.1939 | Accuracy 0.4199
Epoch 00016 | Loss 2.1789 | Accuracy 0.4266
Epoch 00017 | Loss 2.1629 | Accuracy 0.4281
Epoch 00018 | Loss 2.1519 | Accuracy 0.4314
Epoch 00019 | Loss 2.1395 | Accuracy 0.4334
Epoch 00020 | Loss 2.1321 | Accuracy 0.4373
Epoch 00021 | Loss 2.1211 | Accuracy 0.4385
Epoch 00022 | Loss 2.1164 | Accuracy 0.4426
Epoch 00023 | Loss 2.1102 | Accuracy 0.4408
Epoch 00024 | Loss 2.1048 | Accuracy 0.4410
Epoch 00025 | Loss 2.1021 | Accuracy 0.4455
Epoch 00026 | Loss 2.0962 | Accuracy 0.4439
Epoch 00027 | Loss 2.0949 | Accuracy 0.4436
Epoch 00028 | Loss 2.0917 | Accuracy 0.4450
Epoch 00029 | Loss 2.0903 | Accuracy 0.4444
Epoch 00030 | Loss 2.0858 | Accuracy 0.4459
Epoch 00031 | Loss 2.0847 | Accuracy 0.4502
Epoch 00032 | Loss 2.0819 | Accuracy 0.4464
Epoch 00033 | Loss 2.0799 | Accuracy 0.4489
Epoch 00034 | Loss 2.0780 | Accuracy 0.4519
Epoch 00035 | Loss 2.0760 | Accuracy 0.4457
Epoch 00036 | Loss 2.0736 | Accuracy 0.4477
Epoch 00037 | Loss 2.0719 | Accuracy 0.4506
Epoch 00038 | Loss 2.0698 | Accuracy 0.4515
Epoch 00039 | Loss 2.0661 | Accuracy 0.4471
Epoch 00040 | Loss 2.0635 | Accuracy 0.4541
Epoch 00041 | Loss 2.0609 | Accuracy 0.4506
Epoch 00042 | Loss 2.0593 | Accuracy 0.4515
Epoch 00043 | Loss 2.0605 | Accuracy 0.4523
Epoch 00044 | Loss 2.0544 | Accuracy 0.4539
Epoch 00045 | Loss 2.0548 | Accuracy 0.4532
Epoch 00046 | Loss 2.0553 | Accuracy 0.4534
Epoch 00047 | Loss 2.0530 | Accuracy 0.4530
Epoch 00048 | Loss 2.0489 | Accuracy 0.4521
Epoch 00049 | Loss 2.0476 | Accuracy 0.4602
