Epoch -0001 | Loss 0.0000 | Accuracy 0.0034
Epoch 00000 | Loss 4.0343 | Accuracy 0.2023
Epoch 00001 | Loss 2.3745 | Accuracy 0.3723
Epoch 00002 | Loss 1.8655 | Accuracy 0.4542
Epoch 00003 | Loss 1.6573 | Accuracy 0.4902
Epoch 00004 | Loss 1.5594 | Accuracy 0.5182
Epoch 00005 | Loss 1.5014 | Accuracy 0.5243
Epoch 00006 | Loss 1.4611 | Accuracy 0.5386
Epoch 00007 | Loss 1.4343 | Accuracy 0.5450
Epoch 00008 | Loss 1.4138 | Accuracy 0.5545
Epoch 00009 | Loss 1.3963 | Accuracy 0.5578
Epoch 00010 | Loss 1.3823 | Accuracy 0.5621
Epoch 00011 | Loss 1.3696 | Accuracy 0.5638
Epoch 00012 | Loss 1.3577 | Accuracy 0.5632
Epoch 00013 | Loss 1.3480 | Accuracy 0.5636
Epoch 00014 | Loss 1.3415 | Accuracy 0.5715
Epoch 00015 | Loss 1.3332 | Accuracy 0.5714
Epoch 00016 | Loss 1.3288 | Accuracy 0.5686
Epoch 00017 | Loss 1.3211 | Accuracy 0.5765
Epoch 00018 | Loss 1.3155 | Accuracy 0.5795
Epoch 00019 | Loss 1.3093 | Accuracy 0.5836
Epoch 00020 | Loss 1.3054 | Accuracy 0.5737
Epoch 00021 | Loss 1.3019 | Accuracy 0.5845
Epoch 00022 | Loss 1.2951 | Accuracy 0.5853
Epoch 00023 | Loss 1.2902 | Accuracy 0.5879
Epoch 00024 | Loss 1.2894 | Accuracy 0.5823
Epoch 00025 | Loss 1.2846 | Accuracy 0.5851
Epoch 00026 | Loss 1.2806 | Accuracy 0.5861
Epoch 00027 | Loss 1.2759 | Accuracy 0.5866
Epoch 00028 | Loss 1.2770 | Accuracy 0.5874
Epoch 00029 | Loss 1.2717 | Accuracy 0.5915
Epoch 00030 | Loss 1.2693 | Accuracy 0.5853
Epoch 00031 | Loss 1.2675 | Accuracy 0.5879
Epoch 00032 | Loss 1.2647 | Accuracy 0.5938
Epoch 00033 | Loss 1.2624 | Accuracy 0.5924
Epoch 00034 | Loss 1.2612 | Accuracy 0.5907
Epoch 00035 | Loss 1.2599 | Accuracy 0.5965
Epoch 00036 | Loss 1.2587 | Accuracy 0.5963
Epoch 00037 | Loss 1.2549 | Accuracy 0.6008
Epoch 00038 | Loss 1.2528 | Accuracy 0.5869
Epoch 00039 | Loss 1.2515 | Accuracy 0.6001
Epoch 00040 | Loss 1.2518 | Accuracy 0.5911
Epoch 00041 | Loss 1.2470 | Accuracy 0.5918
Epoch 00042 | Loss 1.2457 | Accuracy 0.6032
Epoch 00043 | Loss 1.2460 | Accuracy 0.6042
Epoch 00044 | Loss 1.2421 | Accuracy 0.6007
Epoch 00045 | Loss 1.2413 | Accuracy 0.5937
Epoch 00046 | Loss 1.2409 | Accuracy 0.6040
Epoch 00047 | Loss 1.2395 | Accuracy 0.6061
Epoch 00048 | Loss 1.2380 | Accuracy 0.6039
Epoch 00049 | Loss 1.2393 | Accuracy 0.6014
