Epoch -0001 | Loss 0.0000 | Accuracy 0.0008 | Time 0.0000
Epoch 00000 | Loss 2.9265 | Accuracy 0.3760 | Time 19.2172
Epoch 00001 | Loss 1.6370 | Accuracy 0.4749 | Time 19.0927
Epoch 00002 | Loss 1.5082 | Accuracy 0.4970 | Time 19.0558
Epoch 00003 | Loss 1.4569 | Accuracy 0.5164 | Time 19.0708
Epoch 00004 | Loss 1.4254 | Accuracy 0.5267 | Time 19.0562
Epoch 00005 | Loss 1.4035 | Accuracy 0.5283 | Time 19.0516
Epoch 00006 | Loss 1.3867 | Accuracy 0.5278 | Time 19.0516
Epoch 00007 | Loss 1.3738 | Accuracy 0.5355 | Time 19.0843
Epoch 00008 | Loss 1.3614 | Accuracy 0.5433 | Time 19.1442
Epoch 00009 | Loss 1.3520 | Accuracy 0.5474 | Time 19.2650
Epoch 00010 | Loss 1.3437 | Accuracy 0.5530 | Time 19.2662
Epoch 00011 | Loss 1.3356 | Accuracy 0.5594 | Time 19.2573
Epoch 00012 | Loss 1.3312 | Accuracy 0.5528 | Time 19.2925
Epoch 00013 | Loss 1.3248 | Accuracy 0.5622 | Time 19.2925
Epoch 00014 | Loss 1.3200 | Accuracy 0.5600 | Time 19.2909
Epoch 00015 | Loss 1.3158 | Accuracy 0.5634 | Time 19.2714
Epoch 00016 | Loss 1.3111 | Accuracy 0.5665 | Time 19.2579
Epoch 00017 | Loss 1.3075 | Accuracy 0.5622 | Time 19.2306
Epoch 00018 | Loss 1.3048 | Accuracy 0.5678 | Time 19.2574
Epoch 00019 | Loss 1.3021 | Accuracy 0.5647 | Time 19.2318
Epoch 00020 | Loss 1.2988 | Accuracy 0.5695 | Time 19.2307
Epoch 00021 | Loss 1.2967 | Accuracy 0.5646 | Time 19.2577
Epoch 00022 | Loss 1.2948 | Accuracy 0.5662 | Time 19.2556
Epoch 00023 | Loss 1.2934 | Accuracy 0.5655 | Time 19.2505
Epoch 00024 | Loss 1.2913 | Accuracy 0.5739 | Time 19.2456
Epoch 00025 | Loss 1.2904 | Accuracy 0.5757 | Time 19.2421
Epoch 00026 | Loss 1.2886 | Accuracy 0.5788 | Time 19.2674
Epoch 00027 | Loss 1.2869 | Accuracy 0.5703 | Time 19.2611
Epoch 00028 | Loss 1.2869 | Accuracy 0.5722 | Time 19.2621
Epoch 00029 | Loss 1.2864 | Accuracy 0.5720 | Time 19.2506
Epoch 00030 | Loss 1.2858 | Accuracy 0.5741 | Time 19.2368
Epoch 00031 | Loss 1.2844 | Accuracy 0.5726 | Time 19.2232
Epoch 00032 | Loss 1.2839 | Accuracy 0.5757 | Time 19.2045
Epoch 00033 | Loss 1.2829 | Accuracy 0.5703 | Time 19.1934
Epoch 00034 | Loss 1.2828 | Accuracy 0.5735 | Time 19.2202
Epoch 00035 | Loss 1.2818 | Accuracy 0.5727 | Time 19.2613
Epoch 00036 | Loss 1.2811 | Accuracy 0.5715 | Time 19.2714
Epoch 00037 | Loss 1.2794 | Accuracy 0.5724 | Time 19.2538
Epoch 00038 | Loss 1.2790 | Accuracy 0.5747 | Time 19.2791
Epoch 00039 | Loss 1.2785 | Accuracy 0.5771 | Time 19.2601
Epoch 00040 | Loss 1.2792 | Accuracy 0.5779 | Time 19.2360
Epoch 00041 | Loss 1.2780 | Accuracy 0.5793 | Time 19.2173
Epoch 00042 | Loss 1.2769 | Accuracy 0.5785 | Time 19.1981
Epoch 00043 | Loss 1.2770 | Accuracy 0.5836 | Time 19.2209
Epoch 00044 | Loss 1.2753 | Accuracy 0.5730 | Time 19.2470
Epoch 00045 | Loss 1.2762 | Accuracy 0.5776 | Time 19.2212
Epoch 00046 | Loss 1.2749 | Accuracy 0.5832 | Time 19.2314
Epoch 00047 | Loss 1.2750 | Accuracy 0.5767 | Time 19.2217
Epoch 00048 | Loss 1.2749 | Accuracy 0.5820 | Time 19.1846
Epoch 00049 | Loss 1.2734 | Accuracy 0.5790 | Time 19.1535
