Epoch -0001 | Loss 0.0000 | Accuracy 0.0030 | Time 0.0000
Epoch 00000 | Loss 3.1891 | Accuracy 0.3256 | Time 10.3320
Epoch 00001 | Loss 1.6587 | Accuracy 0.4616 | Time 9.9216
Epoch 00002 | Loss 1.4536 | Accuracy 0.5044 | Time 9.9338
Epoch 00003 | Loss 1.3686 | Accuracy 0.5214 | Time 9.8708
Epoch 00004 | Loss 1.3158 | Accuracy 0.5422 | Time 9.7864
Epoch 00005 | Loss 1.2845 | Accuracy 0.5551 | Time 9.7914
Epoch 00006 | Loss 1.2622 | Accuracy 0.5618 | Time 9.7997
Epoch 00007 | Loss 1.2452 | Accuracy 0.5662 | Time 9.7882
Epoch 00008 | Loss 1.2338 | Accuracy 0.5711 | Time 9.8058
Epoch 00009 | Loss 1.2228 | Accuracy 0.5739 | Time 9.8950
Epoch 00010 | Loss 1.2142 | Accuracy 0.5740 | Time 10.0570
Epoch 00011 | Loss 1.2079 | Accuracy 0.5757 | Time 10.0528
Epoch 00012 | Loss 1.2022 | Accuracy 0.5769 | Time 10.0636
Epoch 00013 | Loss 1.1945 | Accuracy 0.5804 | Time 10.0518
Epoch 00014 | Loss 1.1932 | Accuracy 0.5827 | Time 10.0452
Epoch 00015 | Loss 1.1856 | Accuracy 0.5945 | Time 10.0542
Epoch 00016 | Loss 1.1824 | Accuracy 0.5853 | Time 10.0555
Epoch 00017 | Loss 1.1806 | Accuracy 0.5813 | Time 10.0412
Epoch 00018 | Loss 1.1753 | Accuracy 0.5915 | Time 10.0568
Epoch 00019 | Loss 1.1726 | Accuracy 0.5919 | Time 10.0566
Epoch 00020 | Loss 1.1723 | Accuracy 0.5931 | Time 10.0573
Epoch 00021 | Loss 1.1684 | Accuracy 0.5933 | Time 10.0617
Epoch 00022 | Loss 1.1638 | Accuracy 0.5941 | Time 10.0547
Epoch 00023 | Loss 1.1633 | Accuracy 0.5942 | Time 10.0497
Epoch 00024 | Loss 1.1617 | Accuracy 0.5930 | Time 10.0465
Epoch 00025 | Loss 1.1595 | Accuracy 0.5988 | Time 10.0438
Epoch 00026 | Loss 1.1577 | Accuracy 0.5986 | Time 10.0477
Epoch 00027 | Loss 1.1566 | Accuracy 0.6017 | Time 10.0457
Epoch 00028 | Loss 1.1559 | Accuracy 0.5920 | Time 10.0457
Epoch 00029 | Loss 1.1543 | Accuracy 0.6008 | Time 10.0494
Epoch 00030 | Loss 1.1528 | Accuracy 0.6108 | Time 10.0430
Epoch 00031 | Loss 1.1504 | Accuracy 0.6062 | Time 10.0352
Epoch 00032 | Loss 1.1486 | Accuracy 0.6006 | Time 10.0506
Epoch 00033 | Loss 1.1481 | Accuracy 0.6083 | Time 10.0395
Epoch 00034 | Loss 1.1474 | Accuracy 0.6009 | Time 10.0448
Epoch 00035 | Loss 1.1465 | Accuracy 0.6041 | Time 10.0389
Epoch 00036 | Loss 1.1454 | Accuracy 0.6070 | Time 10.0500
Epoch 00037 | Loss 1.1437 | Accuracy 0.6036 | Time 10.0463
Epoch 00038 | Loss 1.1421 | Accuracy 0.6093 | Time 10.0433
Epoch 00039 | Loss 1.1422 | Accuracy 0.6109 | Time 10.0484
Epoch 00040 | Loss 1.1422 | Accuracy 0.6079 | Time 10.0529
Epoch 00041 | Loss 1.1418 | Accuracy 0.6117 | Time 10.0457
Epoch 00042 | Loss 1.1393 | Accuracy 0.6092 | Time 10.0438
Epoch 00043 | Loss 1.1399 | Accuracy 0.6108 | Time 10.0416
Epoch 00044 | Loss 1.1400 | Accuracy 0.6121 | Time 10.0410
Epoch 00045 | Loss 1.1388 | Accuracy 0.6154 | Time 10.0298
Epoch 00046 | Loss 1.1371 | Accuracy 0.6122 | Time 10.0487
Epoch 00047 | Loss 1.1357 | Accuracy 0.6109 | Time 10.0549
Epoch 00048 | Loss 1.1359 | Accuracy 0.6075 | Time 10.0706
Epoch 00049 | Loss 1.1365 | Accuracy 0.6088 | Time 10.0657
