Epoch -0001 | Loss 0.0000 | Accuracy 0.0373
Epoch 00000 | Loss 2.7488 | Accuracy 0.3794
Epoch 00001 | Loss 1.6882 | Accuracy 0.4636
Epoch 00002 | Loss 1.5422 | Accuracy 0.5011
Epoch 00003 | Loss 1.4739 | Accuracy 0.5171
Epoch 00004 | Loss 1.4358 | Accuracy 0.5225
Epoch 00005 | Loss 1.4073 | Accuracy 0.5251
Epoch 00006 | Loss 1.3859 | Accuracy 0.5305
Epoch 00007 | Loss 1.3675 | Accuracy 0.5436
Epoch 00008 | Loss 1.3521 | Accuracy 0.5561
Epoch 00009 | Loss 1.3405 | Accuracy 0.5417
Epoch 00010 | Loss 1.3304 | Accuracy 0.5538
Epoch 00011 | Loss 1.3206 | Accuracy 0.5516
Epoch 00012 | Loss 1.3158 | Accuracy 0.5580
Epoch 00013 | Loss 1.3093 | Accuracy 0.5570
Epoch 00014 | Loss 1.3065 | Accuracy 0.5731
Epoch 00015 | Loss 1.3020 | Accuracy 0.5663
Epoch 00016 | Loss 1.2985 | Accuracy 0.5610
Epoch 00017 | Loss 1.2954 | Accuracy 0.5648
Epoch 00018 | Loss 1.2941 | Accuracy 0.5665
Epoch 00019 | Loss 1.2912 | Accuracy 0.5764
Epoch 00020 | Loss 1.2889 | Accuracy 0.5700
Epoch 00021 | Loss 1.2874 | Accuracy 0.5727
Epoch 00022 | Loss 1.2844 | Accuracy 0.5739
Epoch 00023 | Loss 1.2823 | Accuracy 0.5763
Epoch 00024 | Loss 1.2813 | Accuracy 0.5825
Epoch 00025 | Loss 1.2797 | Accuracy 0.5720
Epoch 00026 | Loss 1.2781 | Accuracy 0.5734
Epoch 00027 | Loss 1.2771 | Accuracy 0.5739
Epoch 00028 | Loss 1.2743 | Accuracy 0.5778
Epoch 00029 | Loss 1.2729 | Accuracy 0.5738
Epoch 00030 | Loss 1.2720 | Accuracy 0.5769
Epoch 00031 | Loss 1.2715 | Accuracy 0.5820
Epoch 00032 | Loss 1.2701 | Accuracy 0.5773
Epoch 00033 | Loss 1.2696 | Accuracy 0.5825
Epoch 00034 | Loss 1.2679 | Accuracy 0.5804
Epoch 00035 | Loss 1.2675 | Accuracy 0.5825
Epoch 00036 | Loss 1.2655 | Accuracy 0.5771
Epoch 00037 | Loss 1.2657 | Accuracy 0.5858
Epoch 00038 | Loss 1.2651 | Accuracy 0.5802
Epoch 00039 | Loss 1.2640 | Accuracy 0.5831
Epoch 00040 | Loss 1.2622 | Accuracy 0.5837
Epoch 00041 | Loss 1.2632 | Accuracy 0.5819
Epoch 00042 | Loss 1.2613 | Accuracy 0.5841
Epoch 00043 | Loss 1.2620 | Accuracy 0.5914
Epoch 00044 | Loss 1.2602 | Accuracy 0.5833
Epoch 00045 | Loss 1.2595 | Accuracy 0.5893
Epoch 00046 | Loss 1.2595 | Accuracy 0.5801
Epoch 00047 | Loss 1.2599 | Accuracy 0.5813
Epoch 00048 | Loss 1.2571 | Accuracy 0.5849
Epoch 00049 | Loss 1.2578 | Accuracy 0.5854
