Epoch 00000 | Loss 3.4461 | Accuracy 0.4866
Epoch 00001 | Loss 1.3831 | Accuracy 0.7384
Epoch 00002 | Loss 0.8480 | Accuracy 0.8047
Epoch 00003 | Loss 0.6651 | Accuracy 0.8320
Epoch 00004 | Loss 0.5848 | Accuracy 0.8467
Epoch 00005 | Loss 0.5345 | Accuracy 0.8548
Epoch 00006 | Loss 0.5059 | Accuracy 0.8617
Epoch 00007 | Loss 0.4823 | Accuracy 0.8655
Epoch 00008 | Loss 0.4671 | Accuracy 0.8714
Epoch 00009 | Loss 0.4581 | Accuracy 0.8729
Epoch 00010 | Loss 0.4445 | Accuracy 0.8745
Epoch 00011 | Loss 0.4388 | Accuracy 0.8742
Epoch 00012 | Loss 0.4340 | Accuracy 0.8740
Epoch 00013 | Loss 0.4308 | Accuracy 0.8781
Epoch 00014 | Loss 0.4252 | Accuracy 0.8771
Epoch 00015 | Loss 0.4175 | Accuracy 0.8781
Epoch 00016 | Loss 0.4173 | Accuracy 0.8798
Epoch 00017 | Loss 0.4136 | Accuracy 0.8794
Epoch 00018 | Loss 0.4135 | Accuracy 0.8792
Epoch 00019 | Loss 0.4097 | Accuracy 0.8810
Epoch 00020 | Loss 0.4065 | Accuracy 0.8805
Epoch 00021 | Loss 0.4082 | Accuracy 0.8804
Epoch 00022 | Loss 0.4039 | Accuracy 0.8832
Epoch 00023 | Loss 0.4036 | Accuracy 0.8810
Epoch 00024 | Loss 0.3999 | Accuracy 0.8850
Epoch 00025 | Loss 0.3998 | Accuracy 0.8826
Epoch 00026 | Loss 0.3955 | Accuracy 0.8819
Epoch 00027 | Loss 0.3995 | Accuracy 0.8846
Epoch 00028 | Loss 0.3970 | Accuracy 0.8836
Epoch 00029 | Loss 0.3956 | Accuracy 0.8820
Epoch 00030 | Loss 0.3964 | Accuracy 0.8829
Epoch 00031 | Loss 0.3956 | Accuracy 0.8820
Epoch 00032 | Loss 0.3930 | Accuracy 0.8852
Epoch 00033 | Loss 0.3938 | Accuracy 0.8847
Epoch 00034 | Loss 0.3920 | Accuracy 0.8853
Epoch 00035 | Loss 0.3903 | Accuracy 0.8851
Epoch 00036 | Loss 0.3914 | Accuracy 0.8842
Epoch 00037 | Loss 0.3899 | Accuracy 0.8848
Epoch 00038 | Loss 0.3891 | Accuracy 0.8847
Epoch 00039 | Loss 0.3876 | Accuracy 0.8846
Epoch 00040 | Loss 0.3897 | Accuracy 0.8875
Epoch 00041 | Loss 0.3902 | Accuracy 0.8835
Epoch 00042 | Loss 0.3893 | Accuracy 0.8854
Epoch 00043 | Loss 0.3876 | Accuracy 0.8834
Epoch 00044 | Loss 0.3903 | Accuracy 0.8854
Epoch 00045 | Loss 0.3867 | Accuracy 0.8865
Epoch 00046 | Loss 0.3846 | Accuracy 0.8875
Epoch 00047 | Loss 0.3838 | Accuracy 0.8864
Epoch 00048 | Loss 0.3833 | Accuracy 0.8838
Epoch 00049 | Loss 0.3814 | Accuracy 0.8839
