Epoch -0001 | Loss 0.0000 | Accuracy 0.0104
Epoch 00000 | Loss 3.1548 | Accuracy 0.2958
Epoch 00001 | Loss 2.1976 | Accuracy 0.3628
Epoch 00002 | Loss 2.0676 | Accuracy 0.3868
Epoch 00003 | Loss 1.9887 | Accuracy 0.4069
Epoch 00004 | Loss 1.9386 | Accuracy 0.4114
Epoch 00005 | Loss 1.9156 | Accuracy 0.4211
Epoch 00006 | Loss 1.9001 | Accuracy 0.4184
Epoch 00007 | Loss 1.8863 | Accuracy 0.4280
Epoch 00008 | Loss 1.8732 | Accuracy 0.4333
Epoch 00009 | Loss 1.8628 | Accuracy 0.4371
Epoch 00010 | Loss 1.8545 | Accuracy 0.4346
Epoch 00011 | Loss 1.8469 | Accuracy 0.4376
Epoch 00012 | Loss 1.8402 | Accuracy 0.4380
Epoch 00013 | Loss 1.8348 | Accuracy 0.4444
Epoch 00014 | Loss 1.8278 | Accuracy 0.4409
Epoch 00015 | Loss 1.8241 | Accuracy 0.4447
Epoch 00016 | Loss 1.8181 | Accuracy 0.4496
Epoch 00017 | Loss 1.8128 | Accuracy 0.4483
Epoch 00018 | Loss 1.8076 | Accuracy 0.4481
Epoch 00019 | Loss 1.8043 | Accuracy 0.4466
Epoch 00020 | Loss 1.8002 | Accuracy 0.4501
Epoch 00021 | Loss 1.7964 | Accuracy 0.4512
Epoch 00022 | Loss 1.7933 | Accuracy 0.4512
Epoch 00023 | Loss 1.7902 | Accuracy 0.4556
Epoch 00024 | Loss 1.7877 | Accuracy 0.4557
Epoch 00025 | Loss 1.7854 | Accuracy 0.4497
Epoch 00026 | Loss 1.7834 | Accuracy 0.4542
Epoch 00027 | Loss 1.7815 | Accuracy 0.4553
Epoch 00028 | Loss 1.7803 | Accuracy 0.4563
Epoch 00029 | Loss 1.7789 | Accuracy 0.4548
Epoch 00030 | Loss 1.7786 | Accuracy 0.4587
Epoch 00031 | Loss 1.7766 | Accuracy 0.4536
Epoch 00032 | Loss 1.7766 | Accuracy 0.4566
Epoch 00033 | Loss 1.7754 | Accuracy 0.4552
Epoch 00034 | Loss 1.7743 | Accuracy 0.4555
Epoch 00035 | Loss 1.7729 | Accuracy 0.4526
Epoch 00036 | Loss 1.7726 | Accuracy 0.4591
Epoch 00037 | Loss 1.7727 | Accuracy 0.4592
Epoch 00038 | Loss 1.7715 | Accuracy 0.4532
Epoch 00039 | Loss 1.7714 | Accuracy 0.4627
Epoch 00040 | Loss 1.7701 | Accuracy 0.4585
Epoch 00041 | Loss 1.7700 | Accuracy 0.4539
Epoch 00042 | Loss 1.7691 | Accuracy 0.4573
Epoch 00043 | Loss 1.7697 | Accuracy 0.4582
Epoch 00044 | Loss 1.7686 | Accuracy 0.4584
Epoch 00045 | Loss 1.7680 | Accuracy 0.4571
Epoch 00046 | Loss 1.7674 | Accuracy 0.4617
Epoch 00047 | Loss 1.7675 | Accuracy 0.4612
Epoch 00048 | Loss 1.7669 | Accuracy 0.4625
Epoch 00049 | Loss 1.7666 | Accuracy 0.4604
