Epoch 00000 | Loss 4.8517 | Accuracy 0.4124
Epoch 00001 | Loss 1.9643 | Accuracy 0.5341
Epoch 00002 | Loss 1.3867 | Accuracy 0.6553
Epoch 00003 | Loss 1.0656 | Accuracy 0.7242
Epoch 00004 | Loss 0.8633 | Accuracy 0.7807
Epoch 00005 | Loss 0.7351 | Accuracy 0.8110
Epoch 00006 | Loss 0.6513 | Accuracy 0.8285
Epoch 00007 | Loss 0.5995 | Accuracy 0.8367
Epoch 00008 | Loss 0.5653 | Accuracy 0.8472
Epoch 00009 | Loss 0.5428 | Accuracy 0.8511
Epoch 00010 | Loss 0.5231 | Accuracy 0.8572
Epoch 00011 | Loss 0.5042 | Accuracy 0.8582
Epoch 00012 | Loss 0.4940 | Accuracy 0.8610
Epoch 00013 | Loss 0.4845 | Accuracy 0.8655
Epoch 00014 | Loss 0.4756 | Accuracy 0.8661
Epoch 00015 | Loss 0.4648 | Accuracy 0.8691
Epoch 00016 | Loss 0.4584 | Accuracy 0.8698
Epoch 00017 | Loss 0.4510 | Accuracy 0.8712
Epoch 00018 | Loss 0.4492 | Accuracy 0.8733
Epoch 00019 | Loss 0.4419 | Accuracy 0.8744
Epoch 00020 | Loss 0.4365 | Accuracy 0.8745
Epoch 00021 | Loss 0.4382 | Accuracy 0.8749
Epoch 00022 | Loss 0.4318 | Accuracy 0.8735
Epoch 00023 | Loss 0.4259 | Accuracy 0.8773
Epoch 00024 | Loss 0.4303 | Accuracy 0.8760
Epoch 00025 | Loss 0.4258 | Accuracy 0.8782
Epoch 00026 | Loss 0.4184 | Accuracy 0.8781
Epoch 00027 | Loss 0.4200 | Accuracy 0.8787
Epoch 00028 | Loss 0.4185 | Accuracy 0.8777
Epoch 00029 | Loss 0.4148 | Accuracy 0.8796
Epoch 00030 | Loss 0.4091 | Accuracy 0.8786
Epoch 00031 | Loss 0.4126 | Accuracy 0.8778
Epoch 00032 | Loss 0.4101 | Accuracy 0.8815
Epoch 00033 | Loss 0.4071 | Accuracy 0.8813
Epoch 00034 | Loss 0.3996 | Accuracy 0.8807
Epoch 00035 | Loss 0.3991 | Accuracy 0.8810
Epoch 00036 | Loss 0.4012 | Accuracy 0.8812
Epoch 00037 | Loss 0.4010 | Accuracy 0.8832
Epoch 00038 | Loss 0.3967 | Accuracy 0.8845
Epoch 00039 | Loss 0.3973 | Accuracy 0.8828
Epoch 00040 | Loss 0.3955 | Accuracy 0.8840
Epoch 00041 | Loss 0.3971 | Accuracy 0.8838
Epoch 00042 | Loss 0.3918 | Accuracy 0.8818
Epoch 00043 | Loss 0.3983 | Accuracy 0.8827
Epoch 00044 | Loss 0.3922 | Accuracy 0.8842
Epoch 00045 | Loss 0.3906 | Accuracy 0.8853
Epoch 00046 | Loss 0.3894 | Accuracy 0.8825
Epoch 00047 | Loss 0.3867 | Accuracy 0.8856
Epoch 00048 | Loss 0.3914 | Accuracy 0.8846
Epoch 00049 | Loss 0.3887 | Accuracy 0.8839
