Epoch -0001 | Loss 0.0000 | Accuracy 0.0021
Epoch 00000 | Loss 4.7607 | Accuracy 0.0480
Epoch 00001 | Loss 3.5285 | Accuracy 0.1824
Epoch 00002 | Loss 2.7771 | Accuracy 0.2531
Epoch 00003 | Loss 2.4558 | Accuracy 0.3007
Epoch 00004 | Loss 2.3066 | Accuracy 0.3383
Epoch 00005 | Loss 2.2103 | Accuracy 0.3632
Epoch 00006 | Loss 2.1427 | Accuracy 0.3817
Epoch 00007 | Loss 2.0920 | Accuracy 0.3936
Epoch 00008 | Loss 2.0432 | Accuracy 0.4068
Epoch 00009 | Loss 2.0097 | Accuracy 0.4111
Epoch 00010 | Loss 1.9854 | Accuracy 0.4200
Epoch 00011 | Loss 1.9636 | Accuracy 0.4208
Epoch 00012 | Loss 1.9451 | Accuracy 0.4274
Epoch 00013 | Loss 1.9294 | Accuracy 0.4299
Epoch 00014 | Loss 1.9157 | Accuracy 0.4321
Epoch 00015 | Loss 1.9040 | Accuracy 0.4351
Epoch 00016 | Loss 1.8946 | Accuracy 0.4397
Epoch 00017 | Loss 1.8852 | Accuracy 0.4382
Epoch 00018 | Loss 1.8800 | Accuracy 0.4437
Epoch 00019 | Loss 1.8744 | Accuracy 0.4401
Epoch 00020 | Loss 1.8685 | Accuracy 0.4454
Epoch 00021 | Loss 1.8648 | Accuracy 0.4473
Epoch 00022 | Loss 1.8593 | Accuracy 0.4454
Epoch 00023 | Loss 1.8546 | Accuracy 0.4474
Epoch 00024 | Loss 1.8504 | Accuracy 0.4482
Epoch 00025 | Loss 1.8479 | Accuracy 0.4534
Epoch 00026 | Loss 1.8439 | Accuracy 0.4491
Epoch 00027 | Loss 1.8416 | Accuracy 0.4493
Epoch 00028 | Loss 1.8401 | Accuracy 0.4473
Epoch 00029 | Loss 1.8387 | Accuracy 0.4509
Epoch 00030 | Loss 1.8335 | Accuracy 0.4517
Epoch 00031 | Loss 1.8323 | Accuracy 0.4512
Epoch 00032 | Loss 1.8289 | Accuracy 0.4505
Epoch 00033 | Loss 1.8283 | Accuracy 0.4539
Epoch 00034 | Loss 1.8256 | Accuracy 0.4525
Epoch 00035 | Loss 1.8236 | Accuracy 0.4516
Epoch 00036 | Loss 1.8212 | Accuracy 0.4522
Epoch 00037 | Loss 1.8203 | Accuracy 0.4535
Epoch 00038 | Loss 1.8201 | Accuracy 0.4567
Epoch 00039 | Loss 1.8175 | Accuracy 0.4531
Epoch 00040 | Loss 1.8150 | Accuracy 0.4552
Epoch 00041 | Loss 1.8148 | Accuracy 0.4562
Epoch 00042 | Loss 1.8129 | Accuracy 0.4567
Epoch 00043 | Loss 1.8114 | Accuracy 0.4556
Epoch 00044 | Loss 1.8113 | Accuracy 0.4566
Epoch 00045 | Loss 1.8087 | Accuracy 0.4565
Epoch 00046 | Loss 1.8075 | Accuracy 0.4581
Epoch 00047 | Loss 1.8079 | Accuracy 0.4581
Epoch 00048 | Loss 1.8056 | Accuracy 0.4599
Epoch 00049 | Loss 1.8053 | Accuracy 0.4568
