Epoch 00000 | Loss 3.1471 | Accuracy 0.4946
Epoch 00001 | Loss 1.3940 | Accuracy 0.6794
Epoch 00002 | Loss 0.9204 | Accuracy 0.7870
Epoch 00003 | Loss 0.6805 | Accuracy 0.8331
Epoch 00004 | Loss 0.5755 | Accuracy 0.8513
Epoch 00005 | Loss 0.5279 | Accuracy 0.8597
Epoch 00006 | Loss 0.5023 | Accuracy 0.8663
Epoch 00007 | Loss 0.4776 | Accuracy 0.8675
Epoch 00008 | Loss 0.4710 | Accuracy 0.8687
Epoch 00009 | Loss 0.4604 | Accuracy 0.8709
Epoch 00010 | Loss 0.4518 | Accuracy 0.8717
Epoch 00011 | Loss 0.4484 | Accuracy 0.8744
Epoch 00012 | Loss 0.4463 | Accuracy 0.8744
Epoch 00013 | Loss 0.4470 | Accuracy 0.8763
Epoch 00014 | Loss 0.4398 | Accuracy 0.8765
Epoch 00015 | Loss 0.4359 | Accuracy 0.8758
Epoch 00016 | Loss 0.4325 | Accuracy 0.8772
Epoch 00017 | Loss 0.4291 | Accuracy 0.8776
Epoch 00018 | Loss 0.4311 | Accuracy 0.8771
Epoch 00019 | Loss 0.4292 | Accuracy 0.8783
Epoch 00020 | Loss 0.4251 | Accuracy 0.8786
Epoch 00021 | Loss 0.4235 | Accuracy 0.8782
Epoch 00022 | Loss 0.4223 | Accuracy 0.8802
Epoch 00023 | Loss 0.4185 | Accuracy 0.8784
Epoch 00024 | Loss 0.4211 | Accuracy 0.8783
Epoch 00025 | Loss 0.4184 | Accuracy 0.8805
Epoch 00026 | Loss 0.4139 | Accuracy 0.8812
Epoch 00027 | Loss 0.4153 | Accuracy 0.8811
Epoch 00028 | Loss 0.4152 | Accuracy 0.8813
Epoch 00029 | Loss 0.4147 | Accuracy 0.8817
Epoch 00030 | Loss 0.4174 | Accuracy 0.8807
Epoch 00031 | Loss 0.4145 | Accuracy 0.8806
Epoch 00032 | Loss 0.4116 | Accuracy 0.8826
Epoch 00033 | Loss 0.4137 | Accuracy 0.8825
Epoch 00034 | Loss 0.4085 | Accuracy 0.8809
Epoch 00035 | Loss 0.4094 | Accuracy 0.8813
Epoch 00036 | Loss 0.4108 | Accuracy 0.8807
Epoch 00037 | Loss 0.4061 | Accuracy 0.8819
Epoch 00038 | Loss 0.4050 | Accuracy 0.8821
Epoch 00039 | Loss 0.4099 | Accuracy 0.8835
Epoch 00040 | Loss 0.4074 | Accuracy 0.8817
Epoch 00041 | Loss 0.4047 | Accuracy 0.8836
Epoch 00042 | Loss 0.4020 | Accuracy 0.8827
Epoch 00043 | Loss 0.4049 | Accuracy 0.8841
Epoch 00044 | Loss 0.4009 | Accuracy 0.8809
Epoch 00045 | Loss 0.4035 | Accuracy 0.8830
Epoch 00046 | Loss 0.4015 | Accuracy 0.8835
Epoch 00047 | Loss 0.4014 | Accuracy 0.8830
Epoch 00048 | Loss 0.4043 | Accuracy 0.8818
Epoch 00049 | Loss 0.4011 | Accuracy 0.8826
