Epoch -0001 | Loss 0.0000 | Accuracy 0.0038
Epoch 00000 | Loss 4.4644 | Accuracy 0.0837
Epoch 00001 | Loss 3.2784 | Accuracy 0.2118
Epoch 00002 | Loss 2.5263 | Accuracy 0.3102
Epoch 00003 | Loss 2.2271 | Accuracy 0.3793
Epoch 00004 | Loss 2.0903 | Accuracy 0.4208
Epoch 00005 | Loss 1.9957 | Accuracy 0.4426
Epoch 00006 | Loss 1.9238 | Accuracy 0.4623
Epoch 00007 | Loss 1.8773 | Accuracy 0.4744
Epoch 00008 | Loss 1.8433 | Accuracy 0.4866
Epoch 00009 | Loss 1.8189 | Accuracy 0.4895
Epoch 00010 | Loss 1.8027 | Accuracy 0.4938
Epoch 00011 | Loss 1.7844 | Accuracy 0.4989
Epoch 00012 | Loss 1.7731 | Accuracy 0.5032
Epoch 00013 | Loss 1.7586 | Accuracy 0.5094
Epoch 00014 | Loss 1.7478 | Accuracy 0.5122
Epoch 00015 | Loss 1.7327 | Accuracy 0.5202
Epoch 00016 | Loss 1.7217 | Accuracy 0.5239
Epoch 00017 | Loss 1.7151 | Accuracy 0.5286
Epoch 00018 | Loss 1.7043 | Accuracy 0.5318
Epoch 00019 | Loss 1.6993 | Accuracy 0.5346
Epoch 00020 | Loss 1.6918 | Accuracy 0.5358
Epoch 00021 | Loss 1.6874 | Accuracy 0.5442
Epoch 00022 | Loss 1.6839 | Accuracy 0.5428
Epoch 00023 | Loss 1.6774 | Accuracy 0.5444
Epoch 00024 | Loss 1.6718 | Accuracy 0.5450
Epoch 00025 | Loss 1.6649 | Accuracy 0.5470
Epoch 00026 | Loss 1.6629 | Accuracy 0.5456
Epoch 00027 | Loss 1.6601 | Accuracy 0.5526
Epoch 00028 | Loss 1.6564 | Accuracy 0.5525
Epoch 00029 | Loss 1.6513 | Accuracy 0.5542
Epoch 00030 | Loss 1.6486 | Accuracy 0.5564
Epoch 00031 | Loss 1.6459 | Accuracy 0.5514
Epoch 00032 | Loss 1.6431 | Accuracy 0.5554
Epoch 00033 | Loss 1.6427 | Accuracy 0.5562
Epoch 00034 | Loss 1.6393 | Accuracy 0.5577
Epoch 00035 | Loss 1.6388 | Accuracy 0.5611
Epoch 00036 | Loss 1.6355 | Accuracy 0.5595
Epoch 00037 | Loss 1.6325 | Accuracy 0.5637
Epoch 00038 | Loss 1.6317 | Accuracy 0.5631
Epoch 00039 | Loss 1.6276 | Accuracy 0.5575
Epoch 00040 | Loss 1.6279 | Accuracy 0.5609
Epoch 00041 | Loss 1.6255 | Accuracy 0.5604
Epoch 00042 | Loss 1.6233 | Accuracy 0.5655
Epoch 00043 | Loss 1.6240 | Accuracy 0.5718
Epoch 00044 | Loss 1.6223 | Accuracy 0.5624
Epoch 00045 | Loss 1.6198 | Accuracy 0.5612
Epoch 00046 | Loss 1.6180 | Accuracy 0.5645
Epoch 00047 | Loss 1.6180 | Accuracy 0.5629
Epoch 00048 | Loss 1.6159 | Accuracy 0.5652
Epoch 00049 | Loss 1.6146 | Accuracy 0.5675
