Epoch 00000 | Loss 3.3757 | Accuracy 0.4738
Epoch 00001 | Loss 1.4801 | Accuracy 0.7090
Epoch 00002 | Loss 0.9530 | Accuracy 0.7777
Epoch 00003 | Loss 0.7432 | Accuracy 0.8127
Epoch 00004 | Loss 0.6418 | Accuracy 0.8360
Epoch 00005 | Loss 0.5815 | Accuracy 0.8463
Epoch 00006 | Loss 0.5477 | Accuracy 0.8528
Epoch 00007 | Loss 0.5243 | Accuracy 0.8597
Epoch 00008 | Loss 0.5032 | Accuracy 0.8627
Epoch 00009 | Loss 0.4877 | Accuracy 0.8676
Epoch 00010 | Loss 0.4712 | Accuracy 0.8664
Epoch 00011 | Loss 0.4622 | Accuracy 0.8687
Epoch 00012 | Loss 0.4566 | Accuracy 0.8700
Epoch 00013 | Loss 0.4452 | Accuracy 0.8728
Epoch 00014 | Loss 0.4398 | Accuracy 0.8755
Epoch 00015 | Loss 0.4348 | Accuracy 0.8730
Epoch 00016 | Loss 0.4312 | Accuracy 0.8759
Epoch 00017 | Loss 0.4306 | Accuracy 0.8755
Epoch 00018 | Loss 0.4233 | Accuracy 0.8767
Epoch 00019 | Loss 0.4180 | Accuracy 0.8766
Epoch 00020 | Loss 0.4205 | Accuracy 0.8791
Epoch 00021 | Loss 0.4175 | Accuracy 0.8769
Epoch 00022 | Loss 0.4138 | Accuracy 0.8781
Epoch 00023 | Loss 0.4106 | Accuracy 0.8811
Epoch 00024 | Loss 0.4083 | Accuracy 0.8811
Epoch 00025 | Loss 0.4032 | Accuracy 0.8800
Epoch 00026 | Loss 0.4069 | Accuracy 0.8807
Epoch 00027 | Loss 0.3990 | Accuracy 0.8819
Epoch 00028 | Loss 0.4022 | Accuracy 0.8819
Epoch 00029 | Loss 0.4020 | Accuracy 0.8823
Epoch 00030 | Loss 0.4015 | Accuracy 0.8820
Epoch 00031 | Loss 0.3945 | Accuracy 0.8830
Epoch 00032 | Loss 0.3968 | Accuracy 0.8821
Epoch 00033 | Loss 0.3970 | Accuracy 0.8827
Epoch 00034 | Loss 0.3970 | Accuracy 0.8830
Epoch 00035 | Loss 0.3938 | Accuracy 0.8851
Epoch 00036 | Loss 0.3945 | Accuracy 0.8865
Epoch 00037 | Loss 0.3925 | Accuracy 0.8826
Epoch 00038 | Loss 0.3902 | Accuracy 0.8837
Epoch 00039 | Loss 0.3941 | Accuracy 0.8813
Epoch 00040 | Loss 0.3871 | Accuracy 0.8836
Epoch 00041 | Loss 0.3897 | Accuracy 0.8830
Epoch 00042 | Loss 0.3915 | Accuracy 0.8829
Epoch 00043 | Loss 0.3914 | Accuracy 0.8825
Epoch 00044 | Loss 0.3865 | Accuracy 0.8842
Epoch 00045 | Loss 0.3884 | Accuracy 0.8837
Epoch 00046 | Loss 0.3826 | Accuracy 0.8845
Epoch 00047 | Loss 0.3849 | Accuracy 0.8833
Epoch 00048 | Loss 0.3832 | Accuracy 0.8837
Epoch 00049 | Loss 0.3841 | Accuracy 0.8829
