model,cache mem,Esti Sampling Time,Real Sampling Time,Err,Esti Featloading Time,Real Featloading Time,Err,Esti Training Time,Real Training Time,Err
DP,0,1871.06,1846.31,0.01,15809.45,14944.51,0.06,4348.65,4348.65,0.00
DP,1,1871.06,1846.31,0.01,12795.82,12080.95,0.06,4348.65,4348.65,0.00
DP,2,1871.06,1846.31,0.01,11145.44,10536.95,0.06,4348.65,4348.65,0.00
DP,3,1871.06,1846.31,0.01,9840.12,9312.36,0.06,4348.65,4348.65,0.00
DP,4,1871.06,1846.31,0.01,8736.69,8264.20,0.06,4348.65,4348.65,0.00
DP,5,1871.06,1846.31,0.01,7783.95,7386.95,0.05,4348.65,4348.65,0.00
DP,6,1871.06,1846.31,0.01,6950.86,6608.12,0.05,4348.65,4348.65,0.00
DP,7,1871.06,1846.31,0.01,6218.81,5918.89,0.05,4348.65,4348.65,0.00
NP,0,1959.54,1967.01,0.00,15728.38,14945.59,0.05,4650.48,4655.33,0.00
NP,1,1959.54,1967.01,0.00,10881.85,10308.17,0.06,4650.48,4655.33,0.00
NP,2,1959.54,1967.01,0.00,8445.63,8019.79,0.05,4650.48,4655.33,0.00
NP,3,1959.54,1967.01,0.00,6751.72,6434.31,0.05,4650.48,4655.33,0.00
NP,4,1959.54,1967.01,0.00,5489.07,5250.92,0.05,4650.48,4655.33,0.00
NP,5,1959.54,1967.01,0.00,4514.83,4343.65,0.04,4650.48,4655.33,0.00
NP,6,1959.54,1967.01,0.00,3745.70,3623.88,0.03,4650.48,4655.33,0.00
NP,7,1959.54,1967.01,0.00,3129.13,3070.04,0.02,4650.48,4655.33,0.00
SP,0,1714.39,1637.86,0.05,15262.90,15755.09,0.03,7643.33,7029.51,0.09
SP,1,1714.39,1637.86,0.05,9110.94,9072.19,0.00,7643.33,7029.51,0.09
SP,2,1714.39,1637.86,0.05,6286.27,6269.04,0.00,7643.33,7029.51,0.09
SP,3,1714.39,1637.86,0.05,4456.27,4469.27,0.00,7643.33,7029.51,0.09
SP,4,1714.39,1637.86,0.05,3212.33,3253.76,0.01,7643.33,7029.51,0.09
SP,5,1714.39,1637.86,0.05,2357.37,2414.37,0.02,7643.33,7029.51,0.09
SP,6,1714.39,1637.86,0.05,1767.38,1849.38,0.04,7643.33,7029.51,0.09
SP,7,1714.39,1637.86,0.05,1355.89,1456.69,0.07,7643.33,7029.51,0.09
MP,0,3053.44,2954.14,0.03,14514.21,14400.37,0.01,26722.49,19633.74,0.36
MP,1,3053.44,2954.14,0.03,8067.05,7965.80,0.01,26722.49,19633.74,0.36
MP,2,3053.44,2954.14,0.03,5219.79,5576.17,0.06,26722.49,19633.74,0.36
MP,3,3053.44,2954.14,0.03,3428.59,4019.51,0.15,26722.49,19633.74,0.36
MP,4,3053.44,2954.14,0.03,2249.06,2899.07,0.22,26722.49,19633.74,0.36
MP,5,3053.44,2954.14,0.03,1468.05,2079.37,0.29,26722.49,19633.74,0.36
MP,6,3053.44,2954.14,0.03,954.15,1526.38,0.37,26722.49,19633.74,0.36
MP,7,3053.44,2954.14,0.03,618.04,1322.90,0.53,26722.49,19633.74,0.36
