model,cache mem,Esti Sampling Time,Real Sampling Time,Err,Esti Featloading Time,Real Featloading Time,Err,Esti Training Time,Real Training Time,Err
DP,0,1859.24,1790.78,0.04,15807.00,14907.26,0.06,2276.21,2276.21,0.00
DP,1,1859.24,1790.78,0.04,12795.11,12097.07,0.06,2276.21,2276.21,0.00
DP,2,1859.24,1790.78,0.04,11142.87,10517.60,0.06,2276.21,2276.21,0.00
DP,3,1859.24,1790.78,0.04,9838.09,9309.19,0.06,2276.21,2276.21,0.00
DP,4,1859.24,1790.78,0.04,8734.15,8272.89,0.06,2276.21,2276.21,0.00
DP,5,1859.24,1790.78,0.04,7781.82,7389.37,0.05,2276.21,2276.21,0.00
DP,6,1859.24,1790.78,0.04,6950.45,6588.70,0.05,2276.21,2276.21,0.00
DP,7,1859.24,1790.78,0.04,6215.68,5914.13,0.05,2276.21,2276.21,0.00
NP,0,1949.64,1907.08,0.02,15725.93,14946.20,0.05,2427.12,2459.74,0.01
NP,1,1949.64,1907.08,0.02,10879.31,10300.85,0.06,2427.12,2459.74,0.01
NP,2,1949.64,1907.08,0.02,8443.65,8014.50,0.05,2427.12,2459.74,0.01
NP,3,1949.64,1907.08,0.02,6750.46,6434.85,0.05,2427.12,2459.74,0.01
NP,4,1949.64,1907.08,0.02,5488.12,5257.69,0.04,2427.12,2459.74,0.01
NP,5,1949.64,1907.08,0.02,4513.79,4344.56,0.04,2427.12,2459.74,0.01
NP,6,1949.64,1907.08,0.02,3744.81,3627.90,0.03,2427.12,2459.74,0.01
NP,7,1949.64,1907.08,0.02,3128.39,3053.62,0.02,2427.12,2459.74,0.01
SP,0,2151.23,2111.13,0.02,14148.37,13414.16,0.05,2847.34,2838.00,0.00
SP,1,2151.23,2111.13,0.02,8195.08,7785.45,0.05,2847.34,2838.00,0.00
SP,2,2151.23,2111.13,0.02,5490.29,5245.25,0.05,2847.34,2838.00,0.00
SP,3,2151.23,2111.13,0.02,3738.63,3601.24,0.04,2847.34,2838.00,0.00
SP,4,2151.23,2111.13,0.02,2547.73,2486.88,0.02,2847.34,2838.00,0.00
SP,5,2151.23,2111.13,0.02,1730.21,1710.23,0.01,2847.34,2838.00,0.00
SP,6,2151.23,2111.13,0.02,1169.95,1185.90,0.01,2847.34,2838.00,0.00
SP,7,2151.23,2111.13,0.02,787.26,896.00,0.12,2847.34,2838.00,0.00
MP,0,3137.72,3081.31,0.02,14513.12,14411.51,0.01,3486.99,3348.99,0.04
MP,1,3137.72,3081.31,0.02,8066.48,7970.67,0.01,3486.99,3348.99,0.04
MP,2,3137.72,3081.31,0.02,5219.41,5622.37,0.07,3486.99,3348.99,0.04
MP,3,3137.72,3081.31,0.02,3428.40,4025.69,0.15,3486.99,3348.99,0.04
MP,4,3137.72,3081.31,0.02,2248.93,2906.61,0.23,3486.99,3348.99,0.04
MP,5,3137.72,3081.31,0.02,1467.99,2097.55,0.30,3486.99,3348.99,0.04
MP,6,3137.72,3081.31,0.02,954.05,1539.40,0.38,3486.99,3348.99,0.04
MP,7,3137.72,3081.31,0.02,617.95,1357.38,0.54,3486.99,3348.99,0.04
