model,cache mem,Esti Sampling Time,Real Sampling Time,Err,Esti Featloading Time,Real Featloading Time,Err,Esti Training Time,Real Training Time,Err
DP,0,1860.92,1803.65,0.03,15811.18,14929.83,0.06,1815.44,1815.44,0.00
DP,1,1860.92,1803.65,0.03,12798.14,12066.22,0.06,1815.44,1815.44,0.00
DP,2,1860.92,1803.65,0.03,11146.14,10540.40,0.06,1815.44,1815.44,0.00
DP,3,1860.92,1803.65,0.03,9841.49,9317.11,0.06,1815.44,1815.44,0.00
DP,4,1860.92,1803.65,0.03,8736.70,8280.94,0.06,1815.44,1815.44,0.00
DP,5,1860.92,1803.65,0.03,7784.21,7388.26,0.05,1815.44,1815.44,0.00
DP,6,1860.92,1803.65,0.03,6951.52,6577.20,0.06,1815.44,1815.44,0.00
DP,7,1860.92,1803.65,0.03,6217.63,5909.19,0.05,1815.44,1815.44,0.00
NP,0,1952.76,1941.20,0.01,15728.04,14959.57,0.05,1966.36,2028.00,0.03
NP,1,1952.76,1941.20,0.01,10881.43,10303.21,0.06,1966.36,2028.00,0.03
NP,2,1952.76,1941.20,0.01,8445.10,8025.97,0.05,1966.36,2028.00,0.03
NP,3,1952.76,1941.20,0.01,6751.38,6434.60,0.05,1966.36,2028.00,0.03
NP,4,1952.76,1941.20,0.01,5488.78,5260.67,0.04,1966.36,2028.00,0.03
NP,5,1952.76,1941.20,0.01,4514.45,4344.64,0.04,1966.36,2028.00,0.03
NP,6,1952.76,1941.20,0.01,3745.45,3631.15,0.03,1966.36,2028.00,0.03
NP,7,1952.76,1941.20,0.01,3128.97,3052.74,0.02,1966.36,2028.00,0.03
SP,0,2156.31,2153.04,0.00,15261.30,15001.97,0.02,2386.65,2318.07,0.03
SP,1,2156.31,2153.04,0.00,9110.02,8949.38,0.02,2386.65,2318.07,0.03
SP,2,2156.31,2153.04,0.00,6285.45,6217.26,0.01,2386.65,2318.07,0.03
SP,3,2156.31,2153.04,0.00,4455.84,4448.20,0.00,2386.65,2318.07,0.03
SP,4,2156.31,2153.04,0.00,3212.07,3243.44,0.01,2386.65,2318.07,0.03
SP,5,2156.31,2153.04,0.00,2357.23,2414.07,0.02,2386.65,2318.07,0.03
SP,6,2156.31,2153.04,0.00,1767.40,1847.70,0.04,2386.65,2318.07,0.03
SP,7,2156.31,2153.04,0.00,1355.89,1453.24,0.07,2386.65,2318.07,0.03
MP,0,3132.61,3103.80,0.01,14514.86,14417.68,0.01,3026.38,3011.88,0.00
MP,1,3132.61,3103.80,0.01,8067.22,8101.16,0.00,3026.38,3011.88,0.00
MP,2,3132.61,3103.80,0.01,5219.88,5642.90,0.07,3026.38,3011.88,0.00
MP,3,3132.61,3103.80,0.01,3428.74,4124.52,0.17,3026.38,3011.88,0.00
MP,4,3132.61,3103.80,0.01,2249.18,2949.97,0.24,3026.38,3011.88,0.00
MP,5,3132.61,3103.80,0.01,1468.19,2158.55,0.32,3026.38,3011.88,0.00
MP,6,3132.61,3103.80,0.01,954.22,1555.38,0.39,3026.38,3011.88,0.00
MP,7,3132.61,3103.80,0.01,618.06,1330.53,0.54,3026.38,3011.88,0.00
