model,cache mem,Esti Sampling Time,Real Sampling Time,Err,Esti Featloading Time,Real Featloading Time,Err,Esti Training Time,Real Training Time,Err
DP,0,2929.24,2963.44,0.01,11259.79,10735.23,0.05,8872.80,8872.80,0.00
DP,1,2929.24,2963.44,0.01,8852.39,8639.39,0.02,8872.80,8872.80,0.00
DP,2,2929.24,2963.44,0.01,7993.08,7767.48,0.03,8872.80,8872.80,0.00
DP,3,2929.24,2963.44,0.01,7271.21,7137.98,0.02,8872.80,8872.80,0.00
DP,4,2929.24,2963.44,0.01,6645.13,6583.52,0.01,8872.80,8872.80,0.00
DP,5,2929.24,2963.44,0.01,6069.53,6090.38,0.00,8872.80,8872.80,0.00
DP,6,2929.24,2963.44,0.01,5541.99,5647.42,0.02,8872.80,8872.80,0.00
NP,0,3226.89,3434.94,0.06,11979.97,11357.92,0.05,9105.13,9149.67,0.00
NP,1,3226.89,3434.94,0.06,7278.79,7155.72,0.02,9105.13,9149.67,0.00
NP,2,3226.89,3434.94,0.06,5316.30,5417.12,0.02,9105.13,9149.67,0.00
NP,3,3226.89,3434.94,0.06,3930.09,4169.21,0.06,9105.13,9149.67,0.00
NP,4,3226.89,3434.94,0.06,2912.37,3229.14,0.10,9105.13,9149.67,0.00
NP,5,3226.89,3434.94,0.06,2128.36,2479.10,0.14,9105.13,9149.67,0.00
NP,6,3226.89,3434.94,0.06,1543.74,1931.55,0.20,9105.13,9149.67,0.00
SP,0,2856.87,2836.78,0.01,11837.72,11921.45,0.01,11176.45,11838.21,0.06
SP,1,2856.87,2836.78,0.01,6979.64,7223.98,0.03,11176.45,11838.21,0.06
SP,2,2856.87,2836.78,0.01,4949.45,5355.17,0.08,11176.45,11838.21,0.06
SP,3,2856.87,2836.78,0.01,3521.85,4007.23,0.12,11176.45,11838.21,0.06
SP,4,2856.87,2836.78,0.01,2479.17,2987.61,0.17,11176.45,11838.21,0.06
SP,5,2856.87,2836.78,0.01,1691.42,2192.41,0.23,11176.45,11838.21,0.06
SP,6,2856.87,2836.78,0.01,1120.77,1590.03,0.30,11176.45,11838.21,0.06
MP,0,4751.04,4476.00,0.06,10528.87,20264.59,0.48,40360.15,30014.26,0.34
MP,1,4751.04,4476.00,0.06,6064.23,12622.22,0.52,40360.15,30014.26,0.34
MP,2,4751.04,4476.00,0.06,4129.14,9412.36,0.56,40360.15,30014.26,0.34
MP,3,4751.04,4476.00,0.06,2783.03,7019.74,0.60,40360.15,30014.26,0.34
MP,4,4751.04,4476.00,0.06,1794.46,5130.81,0.65,40360.15,30014.26,0.34
MP,5,4751.04,4476.00,0.06,1103.12,3621.41,0.70,40360.15,30014.26,0.34
MP,6,4751.04,4476.00,0.06,620.42,2470.82,0.75,40360.15,30014.26,0.34
