model,cache mem,Esti Sampling Time,Real Sampling Time,Err,Esti Featloading Time,Real Featloading Time,Err,Esti Training Time,Real Training Time,Err
DP,0,2940.53,2763.48,0.06,11265.81,10715.00,0.05,3808.70,3808.70,0.00
DP,1,2940.53,2763.48,0.06,8852.16,8615.46,0.03,3808.70,3808.70,0.00
DP,2,2940.53,2763.48,0.06,7996.27,7766.48,0.03,3808.70,3808.70,0.00
DP,3,2940.53,2763.48,0.06,7281.40,7131.54,0.02,3808.70,3808.70,0.00
DP,4,2940.53,2763.48,0.06,6570.39,6595.60,0.00,3808.70,3808.70,0.00
DP,5,2940.53,2763.48,0.06,6064.61,6092.42,0.00,3808.70,3808.70,0.00
DP,6,2940.53,2763.48,0.06,5548.26,5630.66,0.01,3808.70,3808.70,0.00
NP,0,3244.92,3174.01,0.02,11979.33,11319.15,0.06,3924.92,4374.05,0.10
NP,1,3244.92,3174.01,0.02,7280.24,7133.21,0.02,3924.92,4374.05,0.10
NP,2,3244.92,3174.01,0.02,5317.93,5386.97,0.01,3924.92,4374.05,0.10
NP,3,3244.92,3174.01,0.02,3931.79,4153.94,0.05,3924.92,4374.05,0.10
NP,4,3244.92,3174.01,0.02,2913.91,3245.34,0.10,3924.92,4374.05,0.10
NP,5,3244.92,3174.01,0.02,2129.82,2460.05,0.13,3924.92,4374.05,0.10
NP,6,3244.92,3174.01,0.02,1545.08,1913.05,0.19,3924.92,4374.05,0.10
SP,0,3656.82,3476.83,0.05,11202.45,10644.43,0.05,4142.06,4518.53,0.08
SP,1,3656.82,3476.83,0.05,6564.77,6462.15,0.02,4142.06,4518.53,0.08
SP,2,3656.82,3476.83,0.05,4628.10,4748.45,0.03,4142.06,4518.53,0.08
SP,3,3656.82,3476.83,0.05,3271.74,3554.30,0.08,4142.06,4518.53,0.08
SP,4,3656.82,3476.83,0.05,2269.91,2591.79,0.12,4142.06,4518.53,0.08
SP,5,3656.82,3476.83,0.05,1512.89,1881.42,0.20,4142.06,4518.53,0.08
SP,6,3656.82,3476.83,0.05,963.80,1336.41,0.28,4142.06,4518.53,0.08
MP,0,4903.04,4769.75,0.03,10531.99,20224.35,0.48,5656.00,5523.95,0.02
MP,1,4903.04,4769.75,0.03,6066.84,12626.57,0.52,5656.00,5523.95,0.02
MP,2,4903.04,4769.75,0.03,4131.47,9416.36,0.56,5656.00,5523.95,0.02
MP,3,4903.04,4769.75,0.03,2784.83,7012.06,0.60,5656.00,5523.95,0.02
MP,4,4903.04,4769.75,0.03,1796.02,5105.80,0.65,5656.00,5523.95,0.02
MP,5,4903.04,4769.75,0.03,1104.05,3620.75,0.70,5656.00,5523.95,0.02
MP,6,4903.04,4769.75,0.03,620.97,2468.17,0.75,5656.00,5523.95,0.02
