model,cache mem,Esti Sampling Time,Real Sampling Time,Err,Esti Featloading Time,Real Featloading Time,Err,Esti Training Time,Real Training Time,Err
DP,0,2887.58,2792.05,0.03,11260.27,10728.53,0.05,3787.27,3787.27,0.00
DP,1,2887.58,2792.05,0.03,8847.47,8616.30,0.03,3787.27,3787.27,0.00
DP,2,2887.58,2792.05,0.03,7991.85,7771.27,0.03,3787.27,3787.27,0.00
DP,3,2887.58,2792.05,0.03,7277.29,7128.77,0.02,3787.27,3787.27,0.00
DP,4,2887.58,2792.05,0.03,6640.83,6602.39,0.01,3787.27,3787.27,0.00
DP,5,2887.58,2792.05,0.03,6061.41,6099.49,0.01,3787.27,3787.27,0.00
DP,6,2887.58,2792.05,0.03,5548.17,5628.77,0.01,3787.27,3787.27,0.00
NP,0,3169.82,3152.08,0.01,11980.48,11408.52,0.05,3903.42,3853.65,0.01
NP,1,3169.82,3152.08,0.01,7279.21,7141.12,0.02,3903.42,3853.65,0.01
NP,2,3169.82,3152.08,0.01,5316.08,5385.59,0.01,3903.42,3853.65,0.01
NP,3,3169.82,3152.08,0.01,3929.89,4133.90,0.05,3903.42,3853.65,0.01
NP,4,3169.82,3152.08,0.01,2912.12,3202.56,0.09,3903.42,3853.65,0.01
NP,5,3169.82,3152.08,0.01,2128.09,2463.58,0.14,3903.42,3853.65,0.01
NP,6,3169.82,3152.08,0.01,1543.53,1901.18,0.19,3903.42,3853.65,0.01
SP,0,3602.17,3568.33,0.01,11839.53,11803.88,0.00,4120.45,4251.19,0.03
SP,1,3602.17,3568.33,0.01,6981.75,7190.57,0.03,4120.45,4251.19,0.03
SP,2,3602.17,3568.33,0.01,4951.36,5373.90,0.08,4120.45,4251.19,0.03
SP,3,3602.17,3568.33,0.01,3523.71,4030.20,0.13,4120.45,4251.19,0.03
SP,4,3602.17,3568.33,0.01,2480.05,3005.31,0.17,4120.45,4251.19,0.03
SP,5,3602.17,3568.33,0.01,1691.84,2214.62,0.24,4120.45,4251.19,0.03
SP,6,3602.17,3568.33,0.01,1120.82,1611.07,0.30,4120.45,4251.19,0.03
MP,0,4868.97,4830.05,0.01,10527.91,20252.24,0.48,5633.86,4816.03,0.17
MP,1,4868.97,4830.05,0.01,6064.37,12662.06,0.52,5633.86,4816.03,0.17
MP,2,4868.97,4830.05,0.01,4129.58,9402.14,0.56,5633.86,4816.03,0.17
MP,3,4868.97,4830.05,0.01,2783.62,7002.60,0.60,5633.86,4816.03,0.17
MP,4,4868.97,4830.05,0.01,1794.96,5121.81,0.65,5633.86,4816.03,0.17
MP,5,4868.97,4830.05,0.01,1103.25,3642.63,0.70,5633.86,4816.03,0.17
MP,6,4868.97,4830.05,0.01,620.32,2473.93,0.75,5633.86,4816.03,0.17
