model,cache mem,Esti Sampling Time,Real Sampling Time,Err,Esti Featloading Time,Real Featloading Time,Err,Esti Training Time,Real Training Time,Err
DP,0,3386.01,3414.32,0.01,11703.97,11108.17,0.05,7313.80,7313.80,0.00
DP,1,3386.01,3414.32,0.01,5203.66,4951.43,0.05,7313.80,7313.80,0.00
DP,2,3386.01,3414.32,0.01,3231.62,3102.12,0.04,7313.80,7313.80,0.00
DP,3,3386.01,3414.32,0.01,2227.26,2160.22,0.03,7313.80,7313.80,0.00
DP,4,3386.01,3414.32,0.01,1630.87,1618.17,0.01,7313.80,7313.80,0.00
DP,5,3386.01,3414.32,0.01,1241.47,1285.54,0.03,7313.80,7313.80,0.00
DP,6,3386.01,3414.32,0.01,969.95,1096.22,0.12,7313.80,7313.80,0.00
DP,7,3386.01,3414.32,0.01,771.32,1000.92,0.23,7313.80,7313.80,0.00
NP,0,3533.38,3634.38,0.03,11740.51,11098.59,0.06,7754.65,7758.94,0.00
NP,1,3533.38,3634.38,0.03,2598.85,2527.34,0.03,7754.65,7758.94,0.00
NP,2,3533.38,3634.38,0.03,1211.02,1227.84,0.01,7754.65,7758.94,0.00
NP,3,3533.38,3634.38,0.03,649.64,891.98,0.27,7754.65,7758.94,0.00
NP,4,3533.38,3634.38,0.03,375.32,867.06,0.57,7754.65,7758.94,0.00
NP,5,3533.38,3634.38,0.03,223.28,875.47,0.74,7754.65,7758.94,0.00
NP,6,3533.38,3634.38,0.03,132.89,856.05,0.84,7754.65,7758.94,0.00
NP,7,3533.38,3634.38,0.03,75.46,848.71,0.91,7754.65,7758.94,0.00
SP,0,3084.92,3011.18,0.02,11650.52,13073.21,0.11,11006.25,10972.83,0.00
SP,1,3084.92,3011.18,0.02,2097.17,2186.54,0.04,11006.25,10972.83,0.00
SP,2,3084.92,3011.18,0.02,880.20,1158.81,0.24,11006.25,10972.83,0.00
SP,3,3084.92,3011.18,0.02,488.13,1030.75,0.53,11006.25,10972.83,0.00
SP,4,3084.92,3011.18,0.02,292.98,1006.19,0.71,11006.25,10972.83,0.00
SP,5,3084.92,3011.18,0.02,181.12,1005.53,0.82,11006.25,10972.83,0.00
SP,6,3084.92,3011.18,0.02,112.77,1022.27,0.89,11006.25,10972.83,0.00
SP,7,3084.92,3011.18,0.02,68.62,1000.21,0.93,11006.25,10972.83,0.00
MP,0,5457.03,5261.54,0.04,10006.69,19589.99,0.49,40620.59,30187.69,0.35
MP,1,5457.03,5261.54,0.04,1301.43,3000.79,0.57,40620.59,30187.69,0.35
MP,2,5457.03,5261.54,0.04,464.82,1498.48,0.69,40620.59,30187.69,0.35
MP,3,5457.03,5261.54,0.04,194.36,1211.62,0.84,40620.59,30187.69,0.35
MP,4,5457.03,5261.54,0.04,82.43,1169.64,0.93,40620.59,30187.69,0.35
MP,5,5457.03,5261.54,0.04,31.34,1163.80,0.97,40620.59,30187.69,0.35
MP,6,5457.03,5261.54,0.04,8.11,1161.52,0.99,40620.59,30187.69,0.35
MP,7,5457.03,5261.54,0.04,0.00,1148.32,1.00,40620.59,30187.69,0.35
