model,cache mem,Esti Sampling Time,Real Sampling Time,Err,Esti Featloading Time,Real Featloading Time,Err,Esti Training Time,Real Training Time,Err
DP,0,3399.09,3267.28,0.04,11703.61,11104.90,0.05,3203.89,3203.89,0.00
DP,1,3399.09,3267.28,0.04,5202.03,4950.31,0.05,3203.89,3203.89,0.00
DP,2,3399.09,3267.28,0.04,3230.69,3103.37,0.04,3203.89,3203.89,0.00
DP,3,3399.09,3267.28,0.04,2226.77,2161.96,0.03,3203.89,3203.89,0.00
DP,4,3399.09,3267.28,0.04,1629.94,1613.40,0.01,3203.89,3203.89,0.00
DP,5,3399.09,3267.28,0.04,1240.83,1279.36,0.03,3203.89,3203.89,0.00
DP,6,3399.09,3267.28,0.04,969.13,1102.76,0.12,3203.89,3203.89,0.00
DP,7,3399.09,3267.28,0.04,770.90,994.10,0.22,3203.89,3203.89,0.00
NP,0,3556.16,3482.18,0.02,11743.22,11112.08,0.06,3424.33,3622.08,0.05
NP,1,3556.16,3482.18,0.02,2598.01,2528.88,0.03,3424.33,3622.08,0.05
NP,2,3556.16,3482.18,0.02,1210.36,1234.27,0.02,3424.33,3622.08,0.05
NP,3,3556.16,3482.18,0.02,649.10,899.86,0.28,3424.33,3622.08,0.05
NP,4,3556.16,3482.18,0.02,374.90,869.02,0.57,3424.33,3622.08,0.05
NP,5,3556.16,3482.18,0.02,223.01,861.20,0.74,3424.33,3622.08,0.05
NP,6,3556.16,3482.18,0.02,132.68,849.99,0.84,3424.33,3622.08,0.05
NP,7,3556.16,3482.18,0.02,75.36,845.30,0.91,3424.33,3622.08,0.05
SP,0,4147.33,4097.81,0.01,10955.74,10409.26,0.05,3950.40,4248.29,0.07
SP,1,4147.33,4097.81,0.01,1807.52,1793.93,0.01,3950.40,4248.29,0.07
SP,2,4147.33,4097.81,0.01,666.10,866.98,0.23,3950.40,4248.29,0.07
SP,3,4147.33,4097.81,0.01,271.94,789.36,0.66,3950.40,4248.29,0.07
SP,4,4147.33,4097.81,0.01,124.51,790.93,0.84,3950.40,4248.29,0.07
SP,5,4147.33,4097.81,0.01,57.26,798.10,0.93,3950.40,4248.29,0.07
SP,6,4147.33,4097.81,0.01,22.68,800.76,0.97,3950.40,4248.29,0.07
SP,7,4147.33,4097.81,0.01,4.37,784.51,0.99,3950.40,4248.29,0.07
MP,0,5652.15,5535.32,0.02,10007.11,19616.15,0.49,5738.57,5632.21,0.02
MP,1,5652.15,5535.32,0.02,1301.35,3009.25,0.57,5738.57,5632.21,0.02
MP,2,5652.15,5535.32,0.02,464.71,1502.75,0.69,5738.57,5632.21,0.02
MP,3,5652.15,5535.32,0.02,194.31,1215.40,0.84,5738.57,5632.21,0.02
MP,4,5652.15,5535.32,0.02,82.40,1178.90,0.93,5738.57,5632.21,0.02
MP,5,5652.15,5535.32,0.02,31.33,1153.50,0.97,5738.57,5632.21,0.02
MP,6,5652.15,5535.32,0.02,8.10,1157.77,0.99,5738.57,5632.21,0.02
MP,7,5652.15,5535.32,0.02,0.00,1155.76,1.00,5738.57,5632.21,0.02
