model,cache mem,Esti Sampling Time,Real Sampling Time,Err,Esti Featloading Time,Real Featloading Time,Err,Esti Training Time,Real Training Time,Err
DP,0,3411.68,3320.24,0.03,11703.72,11112.04,0.05,2912.43,2912.43,0.00
DP,1,3411.68,3320.24,0.03,5202.25,4958.03,0.05,2912.43,2912.43,0.00
DP,2,3411.68,3320.24,0.03,3230.46,3107.09,0.04,2912.43,2912.43,0.00
DP,3,3411.68,3320.24,0.03,2226.42,2162.29,0.03,2912.43,2912.43,0.00
DP,4,3411.68,3320.24,0.03,1629.75,1619.68,0.01,2912.43,2912.43,0.00
DP,5,3411.68,3320.24,0.03,1240.56,1284.25,0.03,2912.43,2912.43,0.00
DP,6,3411.68,3320.24,0.03,968.97,1100.19,0.12,2912.43,2912.43,0.00
DP,7,3411.68,3320.24,0.03,770.93,1000.31,0.23,2912.43,2912.43,0.00
NP,0,3575.26,3510.72,0.02,11742.41,11127.43,0.06,3132.83,3099.85,0.01
NP,1,3575.26,3510.72,0.02,2598.72,2528.61,0.03,3132.83,3099.85,0.01
NP,2,3575.26,3510.72,0.02,1210.92,1227.49,0.01,3132.83,3099.85,0.01
NP,3,3575.26,3510.72,0.02,649.62,910.57,0.29,3132.83,3099.85,0.01
NP,4,3575.26,3510.72,0.02,375.25,872.85,0.57,3132.83,3099.85,0.01
NP,5,3575.26,3510.72,0.02,223.23,862.98,0.74,3132.83,3099.85,0.01
NP,6,3575.26,3510.72,0.02,132.83,844.98,0.84,3132.83,3099.85,0.01
NP,7,3575.26,3510.72,0.02,75.42,850.17,0.91,3132.83,3099.85,0.01
SP,0,4170.49,4151.02,0.00,11652.73,11986.72,0.03,3658.89,3560.02,0.03
SP,1,4170.49,4151.02,0.00,2097.64,2204.20,0.05,3658.89,3560.02,0.03
SP,2,4170.49,4151.02,0.00,879.89,1145.18,0.23,3658.89,3560.02,0.03
SP,3,4170.49,4151.02,0.00,487.92,983.67,0.50,3658.89,3560.02,0.03
SP,4,4170.49,4151.02,0.00,292.78,963.19,0.70,3658.89,3560.02,0.03
SP,5,4170.49,4151.02,0.00,180.96,936.40,0.81,3658.89,3560.02,0.03
SP,6,4170.49,4151.02,0.00,112.69,943.29,0.88,3658.89,3560.02,0.03
SP,7,4170.49,4151.02,0.00,68.59,936.60,0.93,3658.89,3560.02,0.03
MP,0,5665.34,5589.79,0.01,10006.51,19666.09,0.49,5446.91,4792.09,0.14
MP,1,5665.34,5589.79,0.01,1301.16,3013.59,0.57,5446.91,4792.09,0.14
MP,2,5665.34,5589.79,0.01,464.69,1525.79,0.70,5446.91,4792.09,0.14
MP,3,5665.34,5589.79,0.01,194.29,1216.89,0.84,5446.91,4792.09,0.14
MP,4,5665.34,5589.79,0.01,82.41,1165.06,0.93,5446.91,4792.09,0.14
MP,5,5665.34,5589.79,0.01,31.35,1166.71,0.97,5446.91,4792.09,0.14
MP,6,5665.34,5589.79,0.01,8.12,1161.71,0.99,5446.91,4792.09,0.14
MP,7,5665.34,5589.79,0.01,0.00,1157.02,1.00,5446.91,4792.09,0.14
